Water,d (m),L,lambda (nm),N,clicks,n_sift,errors,P_click,P_click (model),QBER,QBER upper 95%,QBER (model),SKR/pulse
clear_ocean,30.0,3,450,4028064,3937,2000,88,0.0009773926134242156,0.0006353764639221993,0.044,0.05393046169765881,0.043955634936396606,0.0002024640847079818
clear_ocean,35.0,3,450,6578688,2412,1200,57,0.0003666384543544245,0.00027805438382544345,0.0475,0.06110669526122855,0.058356691546911074,6.458656919604634e-05
clear_ocean,40.0,3,450,6255808,1172,600,48,0.00018734590319907516,0.00013061992737861683,0.08,0.1046706946656102,0.08454949624129844,5.5612639022813565e-06
clear_ocean,50.0,3,450,6588800,297,150,24,4.5076493443419134e-05,3.828578902742574e-05,0.16,0.22864918353310773,0.19731616583077385,0.0
coastal,2.0,3,450,1012128,10065,5000,137,0.009944394384899934,0.008527972063457012,0.0274,0.03231003361391984,0.026017145793936162,0.0029452614664526983
coastal,4.0,3,450,1887168,9888,5000,152,0.005239597110591108,0.004067421797796844,0.0304,0.03554143141002901,0.03622680478399798,0.001497191873522737
clear_ocean,45.0,3,450,16414368,1626,810,77,9.905955562833731e-05,6.686262273658539e-05,0.09506172839506173,0.11737765275796311,0.1296674493715541,0.0
clear_ocean,45.0,3,450,24620064,1615,810,110,6.559690502835411e-05,6.686262273658539e-05,0.13580246913580246,0.16133911639325066,0.1296674493715541,0.0
clear_ocean,25.0,1,450,10485760,14274,7153,268,0.0013612747192382813,0.001189251674930225,0.03746679714804977,0.042130151913207556,0.03689666106451924,0.0003430594973898232
clear_ocean,25.0,2,450,10485760,14825,7455,290,0.0014138221740722656,0.001189251674930225,0.038900067069081154,0.04354033149185343,0.03689666106451924,0.0003484763088815188
clear_ocean,25.0,3,450,10485760,15118,7476,287,0.0014417648315429687,0.001189251674930225,0.03838951310861423,0.042995442039610705,0.03689666106451924,0.00035291364337883887
clear_ocean,25.0,4,450,10485760,16363,8129,291,0.0015604972839355468,0.001189251674930225,0.0357977611022266,0.040067916426625445,0.03689666106451924,0.0004040304345773086
clear_ocean,25.0,5,450,10485760,17506,8773,332,0.0016695022583007812,0.001189251674930225,0.03784338310726092,0.042049779539095236,0.03689666106451924,0.0004207962289433002
coastal,2.0,5,450,990044,9925,5000,136,0.010024806978275713,0.008527972063457012,0.0272,0.03209412526045353,0.026017145793936162,0.003021620032788669
coastal,6.0,3,450,3172913,7966,4000,169,0.0025106266701923436,0.001941251905035024,0.04225,0.048951926373514636,0.04365109497883406,0.0005616568158701069
coastal,8.0,3,450,4276262,5978,3000,141,0.0013979498917512537,0.0009295490468193002,0.047,0.05519362692244118,0.05055315835707633,0.00027701728809883706
coastal,10.0,3,450,6607272,3979,2000,118,0.0006022152561601823,0.00044854417328565876,0.059,0.07023955014453871,0.05955080089678546,8.47829125956257e-05
coastal,13.0,3,450,6738926,1567,800,64,0.00023252963454413952,0.00015564409896517972,0.08,0.10101233239925435,0.08598639319760694,9.19202652504434e-06
coastal,16.0,3,450,7467118,633,300,41,8.477166157009973e-05,5.971244791569408e-05,0.13666666666666666,0.18080492488646563,0.14730706867951449,0.0
coastal,19.0,3,450,8396147,294,150,36,3.501606153393932e-05,2.8296688824980265e-05,0.24,0.3164547505468187,0.256515929695652,0.0
harbor,0.5,3,450,1378278,9956,5000,176,0.0072235064333900706,0.005123440206782459,0.0352,0.04068682966880366,0.039494256832988815,0.0018766649125694184
harbor,1.0,3,450,2627301,8052,4000,197,0.003064742106062457,0.0014703280283878684,0.04925,0.05641746727502455,0.05060024092553427,0.0005837123363622211
harbor,1.5,3,450,2395499,3074,1500,78,0.0012832399429095983,0.0004280375422650584,0.052,0.06447625700489357,0.06270258076779563,0.0002040834507068665
harbor,2.0,3,450,6066179,1173,600,59,0.00019336719209901324,0.00013115590192103177,0.09833333333333333,0.12500766568046454,0.0943422220892,0.0
harbor,2.5,3,450,8369056,513,250,40,6.129723591286759e-05,4.663390781900478e-05,0.16,0.2114376354551896,0.17538448900644074,0.0
harbor,3.0,3,450,9630990,225,120,34,2.3362084271710386e-05,2.2573838763917387e-05,0.2833333333333333,0.3728205384217113,0.30913931539319706,0.0
harbor,3.5,3,450,8795171,141,80,36,1.603152457183607e-05,1.572515463754698e-05,0.45,0.565326020905847,0.422014279234018,0.0
