attempt,a_data,a_basis,b_basis,bob,bmatch,err,irrad,mode,mu,lam_idx
1954,0,0,1,1,0,0,200,1,9,0
3125,1,1,0,0,0,0,200,1,9,0
5682,1,0,1,0,0,0,200,1,9,0
7318,1,0,0,1,1,0,200,1,9,0
7656,1,0,1,0,0,0,200,1,9,0
8267,1,1,0,0,0,0,200,1,9,0
8551,0,1,0,1,0,0,200,1,9,0
9967,1,0,1,0,0,0,200,1,9,0
10140,0,1,1,1,1,1,200,1,9,0
10551,0,0,0,0,1,0,200,1,9,0
13307,1,1,1,1,1,0,200,1,9,0
14070,0,1,1,0,1,0,200,1,9,0
14486,1,1,0,0,0,0,200,1,9,0
15064,1,1,1,1,1,0,200,1,9,0
15376,0,1,0,1,0,0,200,1,9,0
15912,1,1,0,0,0,0,200,1,9,0
16258,0,0,1,1,0,0,200,1,9,0
18758,0,0,1,1,0,0,200,1,9,0
18778,1,1,0,0,0,0,200,1,9,0
19268,0,1,0,1,0,0,200,1,9,0
19366,1,0,1,0,0,0,200,1,9,0
19399,1,1,1,1,1,0,200,1,9,0
20045,0,1,1,0,1,0,200,1,9,0
22739,1,1,0,0,0,0,200,1,9,0
24704,0,0,0,0,1,0,200,1,9,0
24790,0,1,0,1,0,0,200,1,9,0
24906,1,1,0,0,0,0,200,1,9,0
26491,0,0,1,1,0,0,200,1,9,0
26912,1,0,0,1,1,0,200,1,9,0
27481,1,1,0,0,0,0,200,1,9,0
30170,1,0,1,0,0,0,200,1,9,0
31056,0,1,0,1,0,0,200,1,9,0
32399,0,1,1,0,1,0,200,1,9,0
33001,1,0,1,0,0,0,200,1,9,0
33007,1,0,1,0,0,0,200,1,9,0
34186,1,0,0,1,1,0,200,1,9,0
34630,1,0,0,1,1,0,200,1,9,0
34787,1,0,0,1,1,0,200,1,9,0
35567,1,1,1,1,1,0,200,1,9,0
37445,0,0,0,0,1,0,200,1,9,0
39635,1,0,0,1,1,0,200,1,9,0
39950,0,0,1,1,0,0,200,1,9,0
40316,0,1,0,1,0,0,200,1,9,0
41465,1,0,1,0,0,0,200,1,9,0
41484,0,0,1,1,0,0,200,1,9,0
43979,1,0,1,0,0,0,200,1,9,0
46215,1,0,0,1,1,0,200,1,9,0
47012,1,1,1,1,1,0,200,1,9,0
50216,0,0,0,0,1,0,200,1,9,0
52181,0,0,0,0,1,0,200,1,9,0
52196,1,1,1,1,1,0,200,1,9,0
52879,0,0,1,1,0,0,200,1,9,0
53753,1,1,1,1,1,0,200,1,9,0
57310,1,1,1,1,1,0,200,1,9,0
57463,0,1,1,1,1,1,200,1,9,0
62355,0,1,1,0,1,0,200,1,9,0
63797,0,0,0,0,1,0,200,1,9,0
64322,1,0,0,1,1,0,200,1,9,0
64761,0,0,1,1,0,0,200,1,9,0
65122,0,1,1,0,1,0,200,1,9,0
66459,1,0,0,1,1,0,27,1,9,0
66904,0,0,0,0,1,0,27,1,9,0
71904,1,1,0,0,0,0,27,1,9,0
76090,1,0,0,1,1,0,27,1,9,0
76625,1,1,0,1,0,0,27,1,9,0
77465,1,1,0,0,0,0,27,1,9,0
83724,1,0,0,1,1,0,27,1,9,0
85185,0,0,1,1,0,0,27,1,9,0
93407,0,1,0,1,0,0,27,1,9,0
99186,0,1,1,0,1,0,27,1,9,0
101557,0,1,0,1,0,0,27,1,9,0
112816,1,1,1,1,1,0,27,1,9,0
113743,0,0,0,0,1,0,27,1,9,0
115241,1,0,1,0,0,0,27,1,9,0
129249,1,1,0,1,0,0,27,1,9,0
129844,0,1,0,1,0,0,27,1,9,0
130668,1,0,0,1,1,0,27,1,9,0
131853,0,1,0,1,0,0,200,1,9,0
132072,0,0,0,0,1,0,200,1,9,0
133718,1,1,0,0,0,0,200,1,9,0
134556,1,0,1,0,0,0,200,1,9,0
134827,1,0,1,0,0,0,200,1,9,0
135995,1,0,1,0,0,0,200,1,9,0
136129,0,0,1,1,0,0,200,1,9,0
136297,0,1,0,1,0,0,200,1,9,0
136758,1,1,1,1,1,0,200,1,9,0
137813,1,0,0,1,1,0,200,1,9,0
139629,1,0,1,0,0,0,200,1,9,0
