attempt,a_data,a_basis,b_basis,bob,bmatch,err,irrad,mode,mu,lam_idx
6581,1,1,1,1,1,0,155,1,9,0
55862,1,1,1,1,1,0,155,1,9,0
80476,0,1,0,1,0,0,119,1,9,0
87222,1,1,1,1,1,0,119,1,9,0
95560,0,0,0,0,1,0,119,1,9,0
140926,1,1,1,1,1,0,255,1,9,0
148911,1,1,1,0,1,1,255,1,9,0
149915,1,1,1,1,1,0,255,1,9,0
175682,0,1,1,0,1,0,255,1,9,0
194820,1,0,0,1,1,0,255,1,9,0
208141,1,0,1,0,0,0,137,1,9,0
213870,1,1,0,0,0,0,137,1,9,0
251060,1,1,0,0,0,0,137,1,9,0
458719,1,0,0,0,1,1,30,1,9,0
478562,0,0,1,1,0,0,209,1,9,0
484445,1,1,0,0,0,0,209,1,9,0
490585,1,0,1,0,0,0,209,1,9,0
523352,1,0,0,1,1,0,209,1,9,0
529510,1,0,0,1,1,0,19,2,12,0
670095,1,1,0,0,0,0,99,3,12,0
692049,0,0,0,0,1,0,99,3,12,0
699420,1,0,1,0,0,0,99,3,12,0
714022,1,0,0,1,1,0,99,3,12,0
721743,1,0,1,0,0,0,194,3,12,0
723329,0,0,0,0,1,0,194,3,12,0
750985,1,1,1,1,1,0,194,3,12,0
757152,1,0,0,0,1,1,194,3,12,0
766335,1,1,1,1,1,0,194,3,12,0
772741,1,1,0,0,0,0,194,3,12,0
789061,1,1,1,1,1,0,77,3,12,0
836999,1,0,0,1,1,0,77,3,12,0
843463,1,0,1,0,0,0,77,3,12,0
860605,0,1,0,1,0,0,57,3,12,0
872737,1,1,0,0,0,0,57,3,12,0
893293,0,0,0,1,1,1,57,3,12,0
986700,1,1,1,1,1,0,173,3,12,0
1019834,1,0,1,0,0,0,173,3,12,0
1021602,0,1,1,0,1,0,173,3,12,0
1038752,0,1,0,0,0,0,173,3,12,0
1039837,1,1,1,0,1,1,173,3,12,0
1044713,1,1,0,0,0,0,173,3,12,0
1114387,0,0,0,0,1,0,157,3,12,0
1156855,1,1,0,0,0,0,157,3,12,0
1169554,1,0,0,1,1,0,157,3,12,0
1212668,1,1,1,1,1,0,182,3,12,0
1214114,1,1,0,1,0,0,182,3,12,0
1222335,1,0,0,1,1,0,182,3,12,0
1252440,0,1,1,0,1,0,65,3,12,0
1314185,0,1,0,1,0,0,255,3,12,0
1322543,0,0,0,0,1,0,255,3,12,0
1374444,0,0,1,1,0,0,255,3,12,0
1456216,1,1,1,1,1,0,223,3,12,0
1467643,0,0,1,1,0,0,223,3,12,0
1470830,1,0,1,0,0,0,223,3,12,0
1480114,0,1,0,1,0,0,223,3,12,0
1508232,0,1,0,1,0,0,232,3,12,0
1532919,1,0,0,1,1,0,232,3,12,0
1537018,0,1,1,0,1,0,232,3,12,0
1541401,1,0,0,0,1,1,232,3,12,0
1541482,1,0,0,1,1,0,232,3,12,0
1546980,0,0,1,1,0,0,232,3,12,0
1547605,1,0,1,0,0,0,232,3,12,0
1550036,1,1,1,1,1,0,232,3,12,0
1656800,0,0,1,1,0,0,255,3,12,0
1659151,1,1,0,0,0,0,255,3,12,0
1661331,0,1,0,1,0,0,255,3,12,0
1668340,1,0,0,1,1,0,255,3,12,0
1672611,0,0,0,0,1,0,255,3,12,0
1676155,1,0,1,0,0,0,255,3,12,0
1689429,1,1,1,1,1,0,255,3,12,0
1716810,0,0,0,0,1,0,95,3,12,0
1751215,1,1,0,0,0,0,95,3,12,0
1760497,1,1,0,1,0,0,95,3,12,0
1786896,1,0,1,1,0,0,111,3,12,0
1811812,1,0,1,0,0,0,111,3,12,0
1855468,1,1,1,1,1,0,20,3,12,0
1858077,1,0,0,1,1,0,20,3,12,0
1962945,0,1,0,1,0,0,118,3,12,0
1967494,1,1,0,0,0,0,255,3,12,0
1979046,0,1,0,1,0,0,255,3,12,0
1985197,0,0,0,1,1,1,255,3,12,0
1988449,1,0,1,1,0,0,255,3,12,0
2002448,0,0,1,1,0,0,255,3,12,0
2022821,0,1,1,0,1,0,255,3,12,0
2070948,1,0,0,1,1,0,92,3,12,0
2205288,0,1,0,1,0,0,26,3,12,0
2232116,1,1,0,0,0,0,25,3,12,0
2281255,0,1,1,1,1,1,25,3,12,0
2286624,1,0,0,1,1,0,25,3,12,0
2336557,1,1,1,1,1,0,102,3,12,0
2340290,0,0,0,1,1,1,102,3,12,0
2353039,1,1,0,0,0,0,102,3,12,0
2425667,0,1,1,0,1,0,255,3,12,0
2427895,0,0,0,0,1,0,255,3,12,0
2430494,1,0,0,1,1,0,255,3,12,0
2440982,1,1,0,0,0,0,255,3,12,0
2446778,1,1,1,1,1,0,255,3,12,0
2447042,1,0,1,0,0,0,255,3,12,0
2458166,0,1,1,0,1,0,255,3,12,0
2476395,1,1,0,0,0,0,255,3,12,0
2493216,1,0,0,1,1,0,177,3,12,0
2501302,0,0,1,1,0,0,177,3,12,0
2523907,0,0,1,1,0,0,177,3,12,0
2532266,1,1,1,1,1,0,177,3,12,0
2547031,0,0,0,0,1,0,177,3,12,0
2583643,0,1,1,0,1,0,238,3,12,0
2587667,0,0,0,0,1,0,238,3,12,0
2597518,1,0,0,1,1,0,238,3,12,0
2683695,0,0,1,0,0,0,41,3,12,0
2706773,1,1,0,1,0,0,57,3,12,0
2750783,1,0,0,0,1,1,57,3,12,0
2751522,0,1,0,0,0,0,57,3,12,0
2758351,1,1,0,0,0,0,63,3,12,0
2777335,1,0,1,0,0,0,63,3,12,0
2821745,1,0,1,0,0,0,59,3,12,0
2872636,1,0,1,0,0,0,59,3,12,0
2874070,0,1,0,1,0,0,59,3,12,0
2874305,1,0,1,1,0,0,59,3,12,0
2901167,1,1,0,0,0,0,249,3,12,0
2909798,0,1,1,0,1,0,249,3,12,0
2912115,1,1,0,0,0,0,249,3,12,0
2913397,1,0,1,0,0,0,249,3,12,0
2918712,1,1,0,0,0,0,249,3,12,0
2938693,1,0,0,1,1,0,249,3,12,0
2958809,0,1,1,0,1,0,190,3,12,0
2961523,1,0,1,0,0,0,190,3,12,0
2986424,0,0,1,1,0,0,190,3,12,0
2992397,0,1,1,0,1,0,190,3,12,0
3000699,1,0,0,1,1,0,190,3,12,0
3005584,0,1,0,1,0,0,190,3,12,0
3019765,0,1,0,1,0,0,255,3,12,0
3026045,0,0,0,0,1,0,255,3,12,0
3033558,0,1,1,0,1,0,255,3,12,0
3050379,1,1,0,0,0,0,255,3,12,0
3056125,1,1,1,1,1,0,255,3,12,0
3060117,1,1,0,1,0,0,255,3,12,0
3067414,0,1,1,0,1,0,255,3,12,0
3084173,0,1,0,0,0,0,255,3,12,0
3086284,0,0,0,0,1,0,255,3,12,0
3158263,1,1,0,0,0,0,237,3,12,0
3187096,1,1,0,0,0,0,237,3,12,0
3192341,0,0,1,1,0,0,237,3,12,0
3195121,1,0,0,1,1,0,237,3,12,0
3200637,0,1,0,1,0,0,237,3,12,0
3361140,1,1,1,1,1,0,255,3,12,0
3362492,1,1,1,1,1,0,255,3,12,0
3364945,1,0,1,0,0,0,255,3,12,0
3367229,1,1,1,1,1,0,255,3,12,0
3372377,0,0,1,1,0,0,255,3,12,0
3382650,0,0,0,0,1,0,255,3,12,0
3386782,1,0,0,1,1,0,255,3,12,0
3407307,0,0,1,1,0,0,255,3,12,0
3407386,1,0,1,0,0,0,255,3,12,0
3431147,0,0,0,0,1,0,78,3,12,0
3460500,1,1,0,0,0,0,78,3,12,0
3568567,1,0,0,0,1,1,151,3,12,0
3610058,1,0,0,1,1,0,4,3,12,0
3644383,0,1,0,1,0,0,4,3,12,0
3808275,1,1,0,0,0,0,255,3,12,0
3816696,1,1,0,0,0,0,255,3,12,0
3828357,1,1,0,0,0,0,255,3,12,0
3834312,0,0,1,0,0,0,255,3,12,0
3843246,0,1,1,0,1,0,255,3,12,0
3859266,0,0,0,0,1,0,255,3,12,0
3880209,0,0,1,0,0,0,19,3,12,0
3886994,0,0,0,0,1,0,19,3,12,0
3934223,1,1,1,0,1,1,64,3,12,0
3970684,1,0,0,1,1,0,64,3,12,0
4001224,0,0,1,1,0,0,34,3,12,0
4098085,1,0,0,1,1,0,198,3,12,0
4105989,0,0,0,0,1,0,198,3,12,0
4109006,0,0,0,0,1,0,198,3,12,0
4113865,0,0,0,0,1,0,198,3,12,0
4148974,1,0,1,0,0,0,110,3,12,0
4159562,0,0,1,0,0,0,110,3,12,0
4198298,1,0,0,1,1,0,166,3,12,0
4206099,1,0,1,0,0,0,166,3,12,0
4229838,1,1,0,0,0,0,166,3,12,0
4247593,0,0,0,0,1,0,166,3,12,0
4262746,1,1,0,0,0,0,255,3,12,0
4279508,1,1,0,0,0,0,255,3,12,0
4287904,1,0,0,0,1,1,255,3,12,0
4295340,1,0,0,0,1,1,255,3,12,0
4305371,0,0,0,0,1,0,255,3,12,0
4328344,0,0,0,0,1,0,138,3,12,0
4331801,1,1,0,0,0,0,138,3,12,0
4344046,0,0,0,0,1,0,138,3,12,0
4359630,1,0,0,1,1,0,138,3,12,0
4369348,0,0,1,1,0,0,138,3,12,0
4404897,0,1,1,1,1,1,38,3,12,0
4418320,1,1,0,0,0,0,38,3,12,0
4441560,1,0,1,0,0,0,38,3,12,0
4446310,1,0,1,0,0,0,38,3,12,0
4507720,1,1,1,1,1,0,34,3,12,0
4560696,0,1,1,1,1,1,92,3,12,0
4568320,0,0,0,0,1,0,92,3,12,0
4575391,1,1,0,0,0,0,92,3,12,0
