attempt,a_data,a_basis,b_basis,bob,bmatch,err,irrad,mode,mu,lam_idx
234,1,0,1,0,0,0,114,1,9,0
620,1,1,0,0,0,0,114,1,9,0
703,0,1,1,0,1,0,114,1,9,0
769,1,1,1,1,1,0,114,1,9,0
908,1,1,1,1,1,0,114,1,9,0
1054,0,1,1,0,1,0,114,1,9,0
1100,0,0,0,0,1,0,114,1,9,0
1312,0,0,0,0,1,0,114,1,9,0
1321,0,1,1,0,1,0,114,1,9,0
1341,1,1,0,0,0,0,114,1,9,0
1391,1,0,0,1,1,0,114,1,9,0
1420,1,1,0,0,0,0,114,1,9,0
1921,0,1,1,0,1,0,114,1,9,0
1993,1,1,1,1,1,0,114,1,9,0
2336,0,1,0,1,0,0,114,1,9,0
2495,1,0,0,1,1,0,114,1,9,0
2737,1,0,0,1,1,0,114,1,9,0
2748,1,1,0,0,0,0,114,1,9,0
2770,1,0,1,0,0,0,114,1,9,0
2941,0,0,1,1,0,0,114,1,9,0
3214,0,1,0,1,0,0,114,1,9,0
3778,1,1,1,1,1,0,114,1,9,0
4046,1,1,0,0,0,0,114,1,9,0
4213,0,0,1,1,0,0,114,1,9,0
4306,1,0,0,1,1,0,114,1,9,0
4572,0,1,1,0,1,0,114,1,9,0
4822,1,1,1,1,1,0,114,1,9,0
4835,0,0,1,1,0,0,114,1,9,0
4852,1,1,1,1,1,0,114,1,9,0
4876,0,1,1,0,1,0,114,1,9,0
5258,1,1,1,1,1,0,114,1,9,0
5322,0,1,1,0,1,0,114,1,9,0
5367,1,1,0,0,0,0,114,1,9,0
5407,1,1,1,1,1,0,114,1,9,0
5977,1,1,1,1,1,0,114,1,9,0
6965,1,1,0,0,0,0,114,1,9,0
7210,1,0,1,0,0,0,114,1,9,0
7564,1,0,0,1,1,0,114,1,9,0
7649,1,1,0,0,0,0,114,1,9,0
7658,0,1,1,0,1,0,114,1,9,0
7731,0,0,1,1,0,0,114,1,9,0
8342,1,0,1,0,0,0,114,1,9,0
8512,0,0,1,1,0,0,114,1,9,0
8525,1,1,1,1,1,0,114,1,9,0
8725,0,0,0,0,1,0,114,1,9,0
8818,1,1,0,0,0,0,114,1,9,0
9274,1,0,1,0,0,0,114,1,9,0
9404,1,1,0,0,0,0,114,1,9,0
9453,0,0,1,1,0,0,114,1,9,0
9659,1,1,1,1,1,0,114,1,9,0
9752,0,0,1,1,0,0,114,1,9,0
9774,1,1,1,1,1,0,114,1,9,0
9856,0,1,1,0,1,0,114,1,9,0
9865,1,1,0,0,0,0,114,1,9,0
11399,1,1,0,0,0,0,114,1,9,0
11528,0,1,0,1,0,0,114,1,9,0
11591,0,0,1,1,0,0,114,1,9,0
11710,0,0,1,1,0,0,114,1,9,0
11846,0,1,1,0,1,0,114,1,9,0
12171,0,0,1,1,0,0,114,1,9,0
12226,0,1,1,0,1,0,114,1,9,0
12236,1,1,1,1,1,0,114,1,9,0
12251,1,0,0,1,1,0,114,1,9,0
