attempt,a_data,a_basis,b_basis,bob,bmatch,err,irrad
10689,1,0,0,1,1,0,60
21429,0,0,0,0,1,0,60
28156,1,1,0,0,0,0,60
32005,1,1,1,1,1,0,60
49008,0,1,1,0,1,0,60
80665,0,0,1,1,0,0,64
85489,1,1,0,0,0,0,64
95565,0,0,0,0,1,0,64
98049,1,0,1,0,0,0,64
101857,0,1,1,0,1,0,64
107362,1,1,0,0,0,0,64
109117,1,0,1,1,0,0,64
123594,1,1,1,1,1,0,64
124166,1,1,1,1,1,0,64
129579,0,0,0,0,1,0,64
131188,0,0,1,1,0,0,204
131609,0,1,1,0,1,0,204
136323,1,0,0,1,1,0,204
136340,1,0,0,1,1,0,204
137581,0,0,1,0,0,0,204
139433,0,0,1,1,0,0,204
141523,1,0,0,1,1,0,204
141894,0,0,0,0,1,0,204
153084,0,0,0,0,1,0,204
155643,1,0,0,1,1,0,204
158939,0,0,1,1,0,0,204
158956,1,0,1,1,0,0,204
159945,1,1,1,1,1,0,204
162446,1,0,1,0,0,0,204
162602,0,1,1,1,1,1,204
166019,0,1,1,0,1,0,204
167662,1,0,0,1,1,0,204
170483,1,1,0,0,0,0,204
176756,1,1,0,0,0,0,204
177276,1,0,1,0,0,0,204
178602,0,1,0,1,0,0,204
179487,1,0,0,1,1,0,204
186113,0,0,0,0,1,0,204
188541,0,1,1,0,1,0,204
190348,0,1,1,0,1,0,204
191397,0,0,0,0,1,0,204
191434,1,1,0,0,0,0,204
191832,0,1,1,0,1,0,204
192792,0,0,0,0,1,0,204
199300,1,0,0,1,1,0,75
201483,0,1,1,0,1,0,75
201870,1,0,1,0,0,0,75
202932,1,1,1,1,1,0,75
210360,1,0,1,0,0,0,75
212857,1,0,0,1,1,0,75
227577,0,1,1,0,1,0,75
244033,1,1,1,1,1,0,75
245157,0,0,0,0,1,0,75
253719,0,0,1,1,0,0,75
255416,1,0,1,0,0,0,75
260996,1,0,0,0,1,1,75
262640,0,1,1,0,1,0,83
265835,0,1,1,0,1,0,83
265869,0,0,1,1,0,0,83
269759,0,1,0,1,0,0,83
270741,1,1,1,0,1,1,83
286219,1,1,0,0,0,0,83
291446,0,1,1,0,1,0,83
300769,0,1,1,1,1,1,83
311721,0,0,1,1,0,0,83
312253,1,1,0,0,0,0,83
322403,0,0,0,0,1,0,83
323267,1,1,0,0,0,0,83
327703,0,0,1,1,0,0,255
329842,1,0,1,0,0,0,255
332601,1,1,1,1,1,0,255
332776,1,0,1,0,0,0,255
333408,0,0,0,0,1,0,255
334500,0,0,1,1,0,0,255
334859,0,0,1,1,0,0,255
335637,0,1,1,0,1,0,255
336130,1,0,1,0,0,0,255
336484,0,1,0,1,0,0,255
337127,0,1,0,1,0,0,255
340858,1,0,0,1,1,0,255
342191,0,1,0,1,0,0,255
343141,0,0,0,0,1,0,255
343255,0,1,0,1,0,0,255
343359,1,0,0,1,1,0,255
345209,0,0,0,0,1,0,255
345491,0,1,0,1,0,0,255
345740,1,0,0,1,1,0,255
346460,0,0,0,0,1,0,255
346721,0,1,1,0,1,0,255
347406,1,0,0,1,1,0,255
347593,0,1,1,0,1,0,255
350568,0,0,1,1,0,0,255
351519,0,1,0,1,0,0,255
351792,0,1,1,0,1,0,255
354090,0,0,0,0,1,0,255
354266,1,1,0,0,0,0,255
354943,1,1,0,0,0,0,255
355525,0,1,1,0,1,0,255
358353,0,1,1,0,1,0,255
358951,0,1,0,1,0,0,255
359242,0,0,1,1,0,0,255
362917,1,1,1,1,1,0,255
366016,1,0,1,0,0,0,255
366469,1,0,0,1,1,0,255
367256,0,0,1,1,0,0,255
367558,0,0,0,0,1,0,255
367621,1,1,1,1,1,0,255
369773,1,0,0,1,1,0,255
369910,0,1,1,0,1,0,255
371602,0,1,0,1,0,0,255
372557,1,0,1,0,0,0,255
372899,0,1,0,1,0,0,255
372941,0,0,0,0,1,0,255
373621,1,0,0,1,1,0,255
373930,1,0,0,1,1,0,255
375319,1,1,0,0,0,0,255
375681,0,0,1,1,0,0,255
376442,1,1,0,0,0,0,255
379596,0,1,0,1,0,0,255
380701,1,0,0,1,1,0,255
383496,0,1,0,0,0,0,255
383642,0,1,1,0,1,0,255
383956,0,0,0,0,1,0,255
384338,0,0,0,0,1,0,255
384594,1,0,0,1,1,0,255
384928,0,0,0,0,1,0,255
385043,1,1,0,0,0,0,255
385080,1,1,0,0,0,0,255
385708,0,0,1,1,0,0,255
386160,1,1,0,0,0,0,255
389088,1,1,1,1,1,0,255
392310,0,0,0,0,1,0,255
393089,1,1,1,1,1,0,255
399574,0,1,1,0,1,0,98
402806,1,1,1,1,1,0,98
406035,1,1,1,1,1,0,98
421292,1,0,1,0,0,0,98
425645,0,1,0,1,0,0,98
428143,0,0,0,0,1,0,98
429618,0,1,0,0,0,0,98
447286,1,0,0,1,1,0,98
448156,0,1,1,0,1,0,98
448608,0,1,1,0,1,0,98
454479,1,0,1,0,0,0,98
478522,0,0,1,1,0,0,45
479381,0,1,0,1,0,0,45
487351,0,0,1,1,0,0,45
491919,1,0,1,0,0,0,45
492911,0,0,0,0,1,0,45
504484,1,0,0,1,1,0,45
523808,1,1,1,1,1,0,45
542253,0,0,1,1,0,0,2
591197,1,0,1,0,0,0,235
592130,0,1,1,0,1,0,235
594410,1,1,0,0,0,0,235
596987,1,0,1,0,0,0,235
599442,0,0,1,1,0,0,235
602629,1,0,0,1,1,0,235
602882,0,1,1,0,1,0,235
605339,1,1,1,1,1,0,235
607916,1,1,0,1,0,0,235
610122,0,0,0,0,1,0,235
613596,0,1,0,1,0,0,235
614511,0,0,1,1,0,0,235
616884,1,0,1,0,0,0,235
617033,0,1,0,1,0,0,235
617828,0,0,1,1,0,0,235
621400,0,1,1,0,1,0,235
622130,1,1,1,1,1,0,235
627776,1,0,0,1,1,0,235
629545,0,0,1,1,0,0,235
636378,1,0,0,1,1,0,235
640786,0,1,0,1,0,0,235
642883,1,1,1,1,1,0,235
643445,1,0,0,1,1,0,235
644206,0,0,0,0,1,0,235
645902,1,0,1,0,0,0,235
646755,0,1,1,0,1,0,235
648957,0,1,0,1,0,0,235
651695,0,1,0,1,0,0,235
653229,0,0,0,0,1,0,235
654782,1,0,1,0,0,0,235
659655,0,1,0,1,0,0,38
673908,1,0,1,0,0,0,38
681637,1,1,1,1,1,0,38
685547,0,1,1,0,1,0,38
687519,1,0,0,1,1,0,38
695616,1,0,1,0,0,0,38
718649,0,1,1,0,1,0,38
724876,1,1,0,0,0,0,161
726321,0,0,1,1,0,0,161
726708,0,1,0,1,0,0,161
727708,1,0,0,1,1,0,161
730418,1,1,1,1,1,0,161
733900,0,0,1,1,0,0,161
736385,1,0,0,1,1,0,161
737184,0,0,1,1,0,0,161
737917,0,1,1,0,1,0,161
739622,0,1,0,1,0,0,161
747001,1,0,1,0,0,0,161
747342,1,0,0,1,1,0,161
756648,1,0,0,1,1,0,161
756918,1,1,0,0,0,0,161
760090,0,1,1,0,1,0,161
762483,0,0,0,0,1,0,161
764331,0,0,1,1,0,0,161
767590,0,0,0,0,1,0,161
774966,0,1,0,1,0,0,161
776514,0,1,0,1,0,0,161
777361,1,0,1,0,0,0,161
782419,0,1,1,0,1,0,161
784731,0,0,0,0,1,0,161
790190,0,0,0,0,1,0,134
790864,1,0,1,0,0,0,134
791481,1,1,0,0,0,0,134
793552,1,1,0,0,0,0,134
795995,1,0,0,1,1,0,134
796585,0,0,0,0,1,0,134
