attempt,a_data,a_basis,b_basis,bob,bmatch,err,irrad,mode,mu,lam_idx
811,0,1,1,0,1,0,47,1,9,0
5608,0,1,1,0,1,0,47,1,9,0
8187,1,0,1,0,0,0,47,1,9,0
8584,1,1,1,1,1,0,47,1,9,0
8761,1,0,1,0,0,0,47,1,9,0
14358,1,0,0,1,1,0,47,1,9,0
18927,1,1,1,1,1,0,47,1,9,0
21335,1,0,1,0,0,0,47,1,9,0
23120,1,0,0,1,1,0,47,1,9,0
31387,0,1,0,1,0,0,47,1,9,0
33153,1,0,0,1,1,0,47,1,9,0
33627,0,1,0,1,0,0,47,1,9,0
35161,0,0,1,1,0,0,47,1,9,0
40817,1,0,0,1,1,0,47,1,9,0
41941,1,0,1,0,0,0,47,1,9,0
42393,0,1,1,0,1,0,47,1,9,0
43928,1,1,1,1,1,0,47,1,9,0
45518,1,0,1,1,0,0,47,1,9,0
53456,0,0,1,1,0,0,47,1,9,0
58224,1,0,0,1,1,0,47,1,9,0
58833,1,0,0,1,1,0,47,1,9,0
60669,1,1,0,0,0,0,47,1,9,0
62530,1,0,0,1,1,0,47,1,9,0
62644,1,0,0,1,1,0,47,1,9,0
135581,0,0,1,1,0,0,14,1,9,0
135901,1,0,1,0,0,0,14,1,9,0
138641,1,0,1,0,0,0,14,1,9,0
143627,0,1,1,0,1,0,14,1,9,0
149431,1,1,1,1,1,0,14,1,9,0
153712,0,1,0,1,0,0,14,1,9,0
156309,1,0,1,0,0,0,14,1,9,0
166214,1,0,1,0,0,0,14,1,9,0
176263,1,0,1,0,0,0,14,1,9,0
199517,1,1,1,1,1,0,42,1,9,0
199686,0,1,0,1,0,0,42,1,9,0
202613,1,1,0,0,0,0,42,1,9,0
202807,0,0,1,1,0,0,42,1,9,0
207636,0,1,1,0,1,0,42,1,9,0
209575,0,1,0,1,0,0,42,1,9,0
210924,0,1,1,0,1,0,42,1,9,0
213926,1,1,1,1,1,0,42,1,9,0
214693,0,0,1,1,0,0,42,1,9,0
218540,1,0,1,0,0,0,42,1,9,0
219072,1,1,0,0,0,0,42,1,9,0
219751,1,1,0,0,0,0,42,1,9,0
223987,0,0,1,1,0,0,42,1,9,0
225868,1,1,1,1,1,0,42,1,9,0
229892,1,0,0,1,1,0,42,1,9,0
230250,0,1,0,1,0,0,42,1,9,0
230257,1,0,1,0,0,0,42,1,9,0
231491,1,1,0,0,0,0,42,1,9,0
233690,0,1,1,0,1,0,42,1,9,0
236161,1,0,0,0,1,1,42,1,9,0
236919,0,1,1,0,1,0,42,1,9,0
241286,1,1,1,1,1,0,42,1,9,0
242202,0,0,0,0,1,0,42,1,9,0
244592,0,1,0,1,0,0,42,1,9,0
252385,1,1,1,1,1,0,42,1,9,0
253730,0,1,0,1,0,0,42,1,9,0
256004,1,1,1,0,1,1,42,1,9,0
258751,1,0,0,1,1,0,42,1,9,0
262414,0,1,0,1,0,0,124,1,9,0
262723,1,1,0,0,0,0,124,1,9,0
262837,0,1,1,0,1,0,124,1,9,0
263492,1,0,0,1,1,0,124,1,9,0
264561,1,1,0,0,0,0,124,1,9,0
264604,0,0,1,1,0,0,124,1,9,0
264623,0,0,0,0,1,0,124,1,9,0
264818,0,0,1,1,0,0,124,1,9,0
266114,1,1,0,0,0,0,124,1,9,0
267408,0,0,1,1,0,0,124,1,9,0
267597,0,0,0,0,1,0,124,1,9,0
267986,0,0,1,1,0,0,124,1,9,0
268516,1,0,1,0,0,0,124,1,9,0
269038,0,0,0,0,1,0,124,1,9,0
270335,0,0,0,0,1,0,124,1,9,0
271171,1,1,1,1,1,0,124,1,9,0
272589,1,0,1,0,0,0,124,1,9,0
274111,0,1,0,1,0,0,124,1,9,0
274699,0,1,0,1,0,0,124,1,9,0
