attempt,a_data,a_basis,b_basis,bob,bmatch,err,irrad,mode,mu,lam_idx
64,0,1,0,1,0,0,96,1,9,0
367,1,1,0,0,0,0,96,1,9,0
620,1,1,1,1,1,0,96,1,9,0
683,1,0,0,1,1,0,96,1,9,0
887,0,1,0,1,0,0,96,1,9,0
943,0,0,1,1,0,0,96,1,9,0
1076,1,1,1,1,1,0,96,1,9,0
1114,1,1,1,1,1,0,96,1,9,0
1725,0,0,1,1,0,0,96,1,9,0
2175,1,1,1,1,1,0,96,1,9,0
2449,0,1,0,1,0,0,96,1,9,0
2478,0,1,0,1,0,0,96,1,9,0
2635,1,0,1,0,0,0,96,1,9,0
2642,0,0,1,1,0,0,96,1,9,0
2707,0,0,0,0,1,0,96,1,9,0
2757,1,1,1,1,1,0,96,1,9,0
3006,0,0,0,0,1,0,96,1,9,0
3048,1,1,1,1,1,0,96,1,9,0
3124,1,0,1,0,0,0,96,1,9,0
3632,0,0,1,1,0,0,96,1,9,0
3675,0,0,0,0,1,0,96,1,9,0
3839,1,0,1,0,0,0,96,1,9,0
4157,0,1,1,0,1,0,96,1,9,0
4214,0,1,1,0,1,0,96,1,9,0
4347,0,1,1,0,1,0,96,1,9,0
4392,0,1,1,0,1,0,96,1,9,0
4914,0,1,0,1,0,0,96,1,9,0
5152,1,0,1,0,0,0,96,1,9,0
5346,1,1,1,1,1,0,96,1,9,0
5504,1,0,1,0,0,0,96,1,9,0
5617,1,1,1,1,1,0,96,1,9,0
5940,1,0,1,0,0,0,96,1,9,0
6546,0,0,0,0,1,0,96,1,9,0
6593,0,0,0,0,1,0,96,1,9,0
6611,0,1,1,0,1,0,96,1,9,0
6621,0,0,1,1,0,0,96,1,9,0
6900,0,1,0,1,0,0,96,1,9,0
7086,0,0,0,0,1,0,96,1,9,0
7409,0,1,1,0,1,0,96,1,9,0
7500,1,0,0,1,1,0,96,1,9,0
7775,1,1,1,1,1,0,96,1,9,0
7838,1,1,0,0,0,0,96,1,9,0
8113,1,1,0,0,0,0,96,1,9,0
8771,1,1,1,1,1,0,96,1,9,0
8957,0,1,1,0,1,0,96,1,9,0
8996,0,0,0,0,1,0,96,1,9,0
9099,1,1,0,0,0,0,96,1,9,0
9298,1,0,1,0,0,0,96,1,9,0
9541,0,0,1,1,0,0,96,1,9,0
9883,0,1,0,1,0,0,96,1,9,0
9919,0,0,1,1,0,0,96,1,9,0
9971,0,1,0,1,0,0,96,1,9,0
10135,0,1,0,1,0,0,96,1,9,0
10176,0,0,1,1,0,0,96,1,9,0
10373,0,1,0,1,0,0,96,1,9,0
10468,1,0,1,0,0,0,96,1,9,0
10591,0,0,1,1,0,0,96,1,9,0
10659,0,1,1,0,1,0,96,1,9,0
10667,1,1,0,0,0,0,96,1,9,0
10687,0,0,0,0,1,0,96,1,9,0
11645,0,0,1,1,0,0,96,1,9,0
11999,1,0,0,1,1,0,96,1,9,0
13236,1,0,1,0,0,0,96,1,9,0
13282,1,1,0,0,0,0,96,1,9,0
13314,0,0,1,1,0,0,96,1,9,0
13581,0,1,0,1,0,0,96,1,9,0
13871,0,0,1,1,0,0,96,1,9,0
14114,0,1,0,1,0,0,96,1,9,0
14375,0,0,0,1,1,1,96,1,9,0
14441,0,0,0,0,1,0,96,1,9,0
14472,1,1,0,0,0,0,96,1,9,0
14563,0,0,0,0,1,0,96,1,9,0
15298,1,1,1,1,1,0,96,1,9,0
15862,1,0,0,1,1,0,96,1,9,0
16120,0,0,1,1,0,0,96,1,9,0
16162,1,0,0,1,1,0,96,1,9,0
16374,0,0,1,1,0,0,96,1,9,0
16850,0,0,0,0,1,0,96,1,9,0
17049,1,1,1,1,1,0,96,1,9,0
17300,0,0,0,0,1,0,96,1,9,0
17509,1,1,0,0,0,0,96,1,9,0
17641,1,0,1,0,0,0,96,1,9,0
17812,0,0,1,1,0,0,96,1,9,0
17856,1,0,1,0,0,0,96,1,9,0
17913,0,1,1,0,1,0,96,1,9,0
17947,0,0,0,0,1,0,96,1,9,0
17998,1,0,0,1,1,0,96,1,9,0
18038,0,0,1,1,0,0,96,1,9,0
18316,1,0,0,1,1,0,96,1,9,0
18551,1,1,1,1,1,0,96,1,9,0
18664,1,1,1,1,1,0,96,1,9,0
18676,1,0,1,0,0,0,96,1,9,0
18799,1,0,1,0,0,0,96,1,9,0
18891,1,1,0,0,0,0,96,1,9,0
19141,0,0,0,0,1,0,96,1,9,0
