attempt,a_data,a_basis,b_basis,bob,bmatch,err,irrad
472,0,1,1,0,1,0,95
978,0,1,1,0,1,0,95
3327,1,1,0,0,0,0,95
3511,0,0,1,1,0,0,95
7024,0,1,0,1,0,0,95
8949,0,1,1,0,1,0,95
10089,0,1,0,1,0,0,95
10542,0,0,0,0,1,0,95
10749,0,0,0,0,1,0,95
10985,1,1,1,1,1,0,95
11788,1,0,0,1,1,0,95
12054,0,1,0,1,0,0,95
13437,0,0,1,1,0,0,95
14047,1,0,0,1,1,0,95
15573,1,0,0,1,1,0,95
16124,0,0,1,1,0,0,95
16682,0,1,1,0,1,0,95
18246,0,0,1,1,0,0,95
18934,0,0,1,1,0,0,95
19848,0,0,1,1,0,0,95
20291,1,0,0,1,1,0,95
20996,0,0,1,1,0,0,95
21710,1,1,0,0,0,0,95
23798,0,0,0,0,1,0,95
24812,1,0,0,1,1,0,95
28112,1,1,0,0,0,0,95
29226,0,1,0,1,0,0,95
29850,1,1,1,1,1,0,95
30489,0,1,0,1,0,0,95
30808,1,1,0,0,0,0,95
30868,0,0,1,0,0,0,95
34627,1,0,0,1,1,0,95
35199,1,0,0,1,1,0,95
36440,0,1,1,0,1,0,95
36455,1,0,1,0,0,0,95
36883,0,0,1,1,0,0,95
37333,0,1,1,0,1,0,95
37858,0,1,1,0,1,0,95
38352,0,1,1,0,1,0,95
39889,1,1,1,1,1,0,95
41842,1,1,0,0,0,0,95
41921,1,1,0,0,0,0,95
42871,1,0,0,1,1,0,95
44084,1,0,1,0,0,0,95
44346,1,0,0,1,1,0,95
46241,0,0,0,0,1,0,95
46914,0,1,1,0,1,0,95
47558,0,1,0,1,0,0,95
47965,1,0,0,1,1,0,95
48080,0,0,1,1,0,0,95
48122,1,0,0,1,1,0,95
50030,0,0,1,1,0,0,95
50431,1,0,0,1,1,0,95
50513,1,1,0,0,0,0,95
50921,1,0,0,1,1,0,95
51184,1,1,1,1,1,0,95
53895,0,0,0,0,1,0,95
54129,0,0,0,0,1,0,95
54207,0,1,0,1,0,0,95
54238,0,0,0,0,1,0,95
54292,1,0,0,1,1,0,95
54971,1,0,1,0,0,0,95
55150,1,1,0,0,0,0,95
59812,1,1,1,1,1,0,95
60235,1,1,0,0,0,0,95
61160,1,0,0,1,1,0,95
62432,1,1,0,0,0,0,95
63784,1,1,0,0,0,0,95
64721,0,0,0,0,1,0,95
66294,0,0,1,1,0,0,110
68970,0,1,1,0,1,0,110
71017,1,0,0,1,1,0,110
71365,0,1,0,1,0,0,110
73088,0,0,1,1,0,0,110
73260,1,0,0,1,1,0,110
73855,1,0,0,1,1,0,110
73919,1,1,1,1,1,0,110
74692,1,1,0,0,0,0,110
75076,0,0,1,1,0,0,110
75170,0,0,1,1,0,0,110
75580,1,1,0,0,0,0,110
76849,1,1,0,1,0,0,110
76881,0,1,0,1,0,0,110
77565,1,0,1,0,0,0,110
79005,1,0,0,1,1,0,110
79106,1,1,1,0,1,1,110
79280,1,1,1,1,1,0,110
79753,0,1,0,1,0,0,110
79799,1,0,0,1,1,0,110
81088,0,0,1,1,0,0,110
81421,1,0,1,0,0,0,110
81441,1,1,1,1,1,0,110
82413,0,0,1,1,0,0,110
83324,1,0,1,0,0,0,110
83478,1,1,0,0,0,0,110
85412,0,0,0,0,1,0,110
88328,0,0,1,1,0,0,110
88422,1,1,0,0,0,0,110
89618,0,0,0,0,1,0,110
89656,1,1,1,1,1,0,110
90398,0,0,1,1,0,0,110
91070,0,1,0,1,0,0,110
91577,1,1,1,1,1,0,110
92125,1,0,1,0,0,0,110
92299,0,0,1,1,0,0,110
92950,0,0,1,1,0,0,110
93194,1,0,0,1,1,0,110
93964,1,1,0,0,0,0,110
94794,0,1,1,0,1,0,110
95226,0,1,1,0,1,0,110
95301,0,0,1,1,0,0,110
95599,0,0,0,0,1,0,110
96852,1,0,1,0,0,0,110
96941,0,0,0,0,1,0,110
98318,0,1,1,1,1,1,110
98371,1,1,0,0,0,0,110
98645,1,1,0,0,0,0,110
98791,1,1,1,1,1,0,110
99373,1,1,0,1,0,0,110
99378,1,1,1,0,1,1,110
99875,0,0,1,1,0,0,110
100017,0,0,1,1,0,0,110
100444,0,1,0,1,0,0,110
100649,1,0,0,1,1,0,110
100793,1,1,0,0,0,0,110
101182,0,0,0,0,1,0,110
103038,0,0,1,1,0,0,110
103224,0,0,0,0,1,0,110
103321,1,1,0,0,0,0,110
104107,1,0,1,0,0,0,110
104257,0,1,1,0,1,0,110
104524,0,1,1,0,1,0,110
107284,1,1,1,1,1,0,110
109017,1,0,1,0,0,0,110
109138,1,1,0,0,0,0,110
109539,1,1,1,1,1,0,110
110646,1,0,1,0,0,0,110
111805,0,1,1,0,1,0,110
112549,0,0,0,0,1,0,110
112659,1,1,0,0,0,0,110
114383,1,1,1,1,1,0,110
117361,1,0,0,1,1,0,110
122826,0,1,0,1,0,0,110
123270,0,1,1,0,1,0,110
124591,1,1,1,1,1,0,110
124662,0,0,1,1,0,0,110
125384,0,1,0,1,0,0,110
125555,1,1,0,0,0,0,110
125792,1,0,0,1,1,0,110
126622,1,0,1,0,0,0,110
126701,0,1,0,1,0,0,110
127708,0,1,1,0,1,0,110
129660,0,1,0,1,0,0,110
129818,0,1,1,0,1,0,110
131170,0,1,0,1,0,0,116
131578,0,1,1,0,1,0,116
131953,0,1,1,0,1,0,116
132255,0,0,1,1,0,0,116
132567,0,0,1,1,0,0,116
132999,0,1,0,1,0,0,116
133309,0,0,0,0,1,0,116
133369,0,1,0,1,0,0,116
133806,1,0,0,1,1,0,116
136195,0,0,1,1,0,0,116
136758,0,0,0,0,1,0,116
137800,0,0,0,0,1,0,116
137880,0,0,0,0,1,0,116
138921,0,1,1,0,1,0,116
138973,1,0,1,0,0,0,116
139420,0,1,0,1,0,0,116
139989,0,1,1,0,1,0,116
140067,1,1,1,1,1,0,116
