attempt,a_data,a_basis,b_basis,bob,bmatch,err,irrad,mode,mu,lam_idx
3633,1,0,1,0,0,0,105,1,9,0
19269,1,0,0,1,1,0,105,1,9,0
32365,1,0,0,1,1,0,105,1,9,0
35298,1,0,0,1,1,0,105,1,9,0
41027,1,0,1,0,0,0,105,1,9,0
42401,1,0,0,1,1,0,105,1,9,0
47072,0,0,0,0,1,0,105,1,9,0
52500,1,0,1,0,0,0,105,1,9,0
53345,1,0,1,0,0,0,105,1,9,0
56408,0,0,0,0,1,0,105,1,9,0
89889,1,0,0,1,1,0,142,1,9,0
100218,1,0,0,1,1,0,142,1,9,0
104804,1,1,0,0,0,0,142,1,9,0
130557,0,0,0,0,1,0,142,1,9,0
148710,0,1,1,0,1,0,110,1,9,0
149937,1,1,0,0,0,0,110,1,9,0
150824,0,0,0,0,1,0,110,1,9,0
152980,0,0,1,1,0,0,110,1,9,0
164538,1,1,0,0,0,0,110,1,9,0
167318,1,1,0,0,0,0,110,1,9,0
175226,1,1,0,0,0,0,110,1,9,0
180346,0,1,0,1,0,0,110,1,9,0
182358,1,0,0,1,1,0,110,1,9,0
186661,0,1,1,0,1,0,110,1,9,0
187877,0,0,0,0,1,0,110,1,9,0
191762,1,0,1,0,0,0,110,1,9,0
201492,1,0,0,1,1,0,141,1,9,0
213611,1,0,0,1,1,0,141,1,9,0
213703,0,1,0,1,0,0,141,1,9,0
217160,0,1,0,1,0,0,141,1,9,0
218266,0,1,0,1,0,0,141,1,9,0
223651,0,1,0,1,0,0,141,1,9,0
224409,0,1,1,0,1,0,141,1,9,0
225976,1,1,0,0,0,0,141,1,9,0
230009,0,1,1,1,1,1,141,1,9,0
237807,1,0,1,0,0,0,141,1,9,0
248268,1,0,1,0,0,0,141,1,9,0
250851,0,0,0,0,1,0,141,1,9,0
260473,1,0,0,1,1,0,141,1,9,0
263022,1,1,0,0,0,0,96,1,9,0
270471,0,0,0,0,1,0,96,1,9,0
280541,1,0,0,0,1,1,96,1,9,0
281004,0,1,0,1,0,0,96,1,9,0
285006,0,0,1,1,0,0,96,1,9,0
