attempt,a_data,a_basis,b_basis,bob,bmatch,err,irrad
57,1,1,1,1,1,0,137
73,1,1,0,0,0,0,137
152,0,1,0,1,0,0,137
188,1,0,1,0,0,0,137
236,0,0,0,0,1,0,137
514,1,0,1,0,0,0,137
583,0,0,0,0,1,0,137
731,0,0,1,1,0,0,137
845,0,0,1,1,0,0,137
866,1,1,1,1,1,0,137
1046,0,0,1,1,0,0,137
1146,1,1,0,0,0,0,137
1169,0,0,1,1,0,0,137
1230,1,0,1,0,0,0,137
1350,1,0,1,0,0,0,137
1386,0,1,0,1,0,0,137
1435,0,0,0,0,1,0,137
1447,0,1,1,0,1,0,137
1505,1,1,0,0,0,0,137
1572,1,0,1,0,0,0,137
1638,1,0,0,1,1,0,137
1641,1,1,1,1,1,0,137
1959,1,1,1,1,1,0,137
2005,1,1,1,1,1,0,137
2046,1,1,1,1,1,0,137
2055,0,0,0,0,1,0,137
2182,0,0,1,1,0,0,137
2230,1,1,1,1,1,0,137
2304,0,1,0,1,0,0,137
2364,1,1,0,0,0,0,137
2483,0,0,1,1,0,0,137
2546,0,1,1,0,1,0,137
2735,1,0,0,1,1,0,137
2912,0,0,1,1,0,0,137
2978,0,0,0,0,1,0,137
3188,1,1,1,1,1,0,137
3749,0,0,0,0,1,0,137
3832,1,0,1,0,0,0,137
3884,1,1,0,0,0,0,137
3972,1,0,0,1,1,0,137
3984,1,0,0,1,1,0,137
4157,0,0,0,0,1,0,137
4173,1,0,1,0,0,0,137
4225,0,1,0,1,0,0,137
4231,0,1,0,1,0,0,137
4326,1,0,1,0,0,0,137
4358,0,0,1,1,0,0,137
4408,0,1,1,0,1,0,137
4708,0,1,0,1,0,0,137
4848,0,1,1,0,1,0,137
4941,0,1,0,1,0,0,137
4948,0,0,0,0,1,0,137
5060,0,0,0,0,1,0,137
5207,1,1,0,0,0,0,137
5216,1,1,1,1,1,0,137
5361,1,0,0,1,1,0,137
5366,0,0,1,1,0,0,137
5391,0,1,1,0,1,0,137
5403,1,0,1,0,0,0,137
5496,0,0,0,0,1,0,137
5667,0,1,0,1,0,0,137
5688,0,0,1,1,0,0,137
5740,0,0,1,0,0,0,137
5766,1,1,0,0,0,0,137
5881,1,0,0,1,1,0,137
5903,1,1,0,0,0,0,137
5949,1,1,1,1,1,0,137
5994,0,1,0,1,0,0,137
6051,1,0,1,0,0,0,137
6206,0,1,1,0,1,0,137
6256,1,0,0,1,1,0,137
6258,1,0,0,1,1,0,137
6268,1,0,0,1,1,0,137
6276,1,1,0,0,0,0,137
6303,0,0,1,1,0,0,137
6308,0,0,1,1,0,0,137
6346,1,0,0,1,1,0,137
6375,0,0,0,0,1,0,137
6549,1,0,1,0,0,0,137
6596,0,1,0,1,0,0,137
6670,1,0,1,0,0,0,137
6704,1,0,1,0,0,0,137
6708,0,1,0,1,0,0,137
6938,0,0,0,0,1,0,137
6970,0,1,1,0,1,0,137
6987,0,0,1,1,0,0,137
7037,1,1,0,0,0,0,137
7066,1,0,1,0,0,0,137
7081,0,0,0,0,1,0,137
7206,1,0,1,0,0,0,137
7213,1,0,0,1,1,0,137
7254,1,1,1,1,1,0,137
7307,0,0,1,1,0,0,137
7497,0,0,1,1,0,0,137
7682,1,1,0,0,0,0,137
7804,1,0,0,1,1,0,137
7981,1,1,1,1,1,0,137
8192,0,0,1,1,0,0,137
8475,0,1,0,1,0,0,137
8576,1,0,1,0,0,0,137
8596,1,1,0,0,0,0,137
8610,1,0,1,0,0,0,137
8644,0,1,1,0,1,0,137
8673,0,1,1,0,1,0,137
8738,1,0,1,0,0,0,137
8893,0,1,0,1,0,0,137
9053,0,1,1,0,1,0,137
9185,0,1,0,1,0,0,137
9202,1,0,1,0,0,0,137
9307,0,1,0,1,0,0,137
9353,1,1,0,0,0,0,137
9393,1,1,1,1,1,0,137
9616,0,0,1,1,0,0,137
9676,0,0,1,1,0,0,137
9745,0,0,1,1,0,0,137
9837,1,1,1,1,1,0,137
9893,1,1,0,0,0,0,137
9915,1,0,0,1,1,0,137
10018,0,0,1,1,0,0,137
10232,0,0,1,1,0,0,137
10243,1,0,0,1,1,0,137
10560,0,0,1,1,0,0,137
10605,0,0,0,0,1,0,137
10672,1,0,1,0,0,0,137
10758,0,0,0,0,1,0,137
10834,0,0,1,1,0,0,137
10865,0,1,1,0,1,0,137
11220,0,0,0,0,1,0,137
11320,0,0,1,1,0,0,137
11383,0,1,1,0,1,0,137
11524,1,1,1,1,1,0,137
11690,1,1,0,0,0,0,137
11751,0,0,1,1,0,0,137
11856,0,1,0,1,0,0,137
12000,0,1,0,1,0,0,137
12043,1,0,0,1,1,0,137
12109,0,1,0,1,0,0,137
12152,1,0,1,0,0,0,137
12193,1,0,1,0,0,0,137
12210,1,0,1,0,0,0,137
12222,0,0,0,0,1,0,137
12281,1,0,1,0,0,0,137
12335,0,0,0,0,1,0,137
12424,0,0,1,1,0,0,137
12566,1,0,0,1,1,0,137
12814,1,0,0,1,1,0,137
12908,0,0,1,1,0,0,137
12943,0,1,1,0,1,0,137
13003,0,0,1,1,0,0,137
13179,1,0,0,1,1,0,137
13203,0,1,0,1,0,0,137
13238,1,0,0,1,1,0,137
13320,1,0,0,1,1,0,137
13359,0,0,0,1,1,1,137
13370,1,0,0,1,1,0,137
13385,0,0,0,0,1,0,137
13392,1,1,1,1,1,0,137
13637,0,0,1,1,0,0,137
13895,1,0,1,0,0,0,137
13900,1,0,0,1,1,0,137
13957,1,0,0,1,1,0,137
14019,1,1,0,0,0,0,137
14081,0,1,1,0,1,0,137
14288,0,1,0,1,0,0,137
14405,0,0,0,0,1,0,137
14564,1,1,0,0,0,0,137
14999,1,1,1,1,1,0,137
15180,0,0,1,1,0,0,137
15223,0,0,1,1,0,0,137
15265,0,0,1,1,0,0,137
15268,0,1,1,0,1,0,137
15422,0,1,1,0,1,0,137
15554,0,1,1,0,1,0,137
15562,0,0,1,1,0,0,137
15622,1,0,0,1,1,0,137
15637,0,0,0,0,1,0,137
15757,1,0,1,0,0,0,137
15975,0,1,0,1,0,0,137
16056,0,1,1,0,1,0,137
16154,0,0,0,0,1,0,137
16246,1,0,1,0,0,0,137
16541,0,1,0,1,0,0,137
16542,1,1,0,0,0,0,137
16607,1,0,0,1,1,0,137
16629,1,1,1,1,1,0,137
16640,0,0,1,1,0,0,137
16660,0,1,1,0,1,0,137
16802,1,0,1,0,0,0,137
16804,1,1,0,0,0,0,137
16850,1,0,0,1,1,0,137
16976,1,1,0,0,0,0,137
17016,0,1,0,1,0,0,137
17074,1,1,1,1,1,0,137
17162,0,1,1,0,1,0,137
17163,0,0,0,0,1,0,137
17172,0,0,1,1,0,0,137
17181,0,0,1,1,0,0,137
17189,1,0,1,0,0,0,137
17387,0,1,0,1,0,0,137
17881,0,0,1,1,0,0,137
17930,1,0,1,0,0,0,137
17939,0,1,0,1,0,0,137
18012,0,1,0,1,0,0,137
18090,0,0,1,1,0,0,137
18097,0,0,1,1,0,0,137
18111,1,0,0,1,1,0,137
18184,1,0,1,0,0,0,137
18209,0,0,0,0,1,0,137
18304,1,0,0,1,1,0,137
18491,1,0,1,0,0,0,137
18519,1,0,1,0,0,0,137
18700,0,1,1,0,1,0,137
18714,1,1,1,1,1,0,137
18764,1,0,1,0,0,0,137
18824,1,1,0,0,0,0,137
18892,0,1,1,0,1,0,137
18973,1,1,0,0,0,0,137
19122,0,1,1,0,1,0,137
19391,0,0,1,1,0,0,137
19549,0,0,1,1,0,0,137
19637,1,1,1,1,1,0,137
19702,1,1,1,1,1,0,137
19715,1,1,0,0,0,0,137
19819,0,0,0,0,1,0,137
19870,0,0,0,0,1,0,137
19875,0,0,0,0,1,0,137
19921,0,0,0,1,1,1,137
20086,0,1,1,0,1,0,137
20127,1,0,0,1,1,0,137
20149,1,1,0,0,0,0,137
20327,0,1,0,1,0,0,137
20385,1,0,1,0,0,0,137
20726,0,1,0,1,0,0,137
20762,0,0,0,0,1,0,137
21083,0,1,1,0,1,0,137
21144,0,0,1,1,0,0,137
21302,0,1,0,1,0,0,137
21374,1,1,0,0,0,0,137
21408,0,1,1,0,1,0,137
21604,1,0,1,0,0,0,137
21753,1,0,1,0,0,0,137
21785,0,1,1,0,1,0,137
21834,1,0,1,0,0,0,137
21985,0,1,0,1,0,0,137
22223,1,1,1,1,1,0,137
22359,1,1,0,0,0,0,137
22469,0,1,0,1,0,0,137
22576,0,0,0,0,1,0,137
22637,1,1,1,1,1,0,137
22652,1,0,0,1,1,0,137
22700,0,0,1,1,0,0,137
22766,0,0,1,1,0,0,137
22814,0,0,1,0,0,0,137
22965,1,1,0,0,0,0,137
23039,1,1,0,0,0,0,137
23077,1,1,1,1,1,0,137
