attempt,a_data,a_basis,b_basis,bob,bmatch,err,irrad,mode,mu,lam_idx
819,1,0,0,1,1,0,88,1,9,0
1398,0,0,0,0,1,0,88,1,9,0
1766,0,0,1,1,0,0,88,1,9,0
3781,1,1,1,1,1,0,88,1,9,0
4653,1,1,0,0,0,0,88,1,9,0
4973,0,0,0,0,1,0,88,1,9,0
7747,0,1,1,0,1,0,88,1,9,0
9394,0,1,0,1,0,0,88,1,9,0
9531,1,1,1,1,1,0,88,1,9,0
9831,0,1,1,0,1,0,88,1,9,0
10751,0,1,0,1,0,0,88,1,9,0
13276,1,0,1,0,0,0,88,1,9,0
13336,1,1,1,1,1,0,88,1,9,0
13950,0,1,0,1,0,0,88,1,9,0
14399,0,1,0,1,0,0,88,1,9,0
14495,0,1,0,1,0,0,88,1,9,0
15234,1,1,1,1,1,0,88,1,9,0
15562,0,1,0,1,0,0,88,1,9,0
16933,1,1,0,0,0,0,88,1,9,0
21823,1,0,1,0,0,0,88,1,9,0
22719,0,1,0,1,0,0,88,1,9,0
23157,0,1,1,0,1,0,88,1,9,0
23375,0,1,1,0,1,0,88,1,9,0
23718,0,0,0,0,1,0,88,1,9,0
23821,0,0,1,1,0,0,88,1,9,0
25396,1,0,0,1,1,0,88,1,9,0
26297,0,1,1,0,1,0,88,1,9,0
27236,1,0,0,1,1,0,88,1,9,0
27936,0,1,0,1,0,0,88,1,9,0
29932,1,1,0,0,0,0,88,1,9,0
30579,1,1,1,1,1,0,88,1,9,0
31536,1,0,1,0,0,0,88,1,9,0
31726,1,0,1,0,0,0,88,1,9,0
32043,0,0,0,0,1,0,88,1,9,0
32214,0,1,0,1,0,0,88,1,9,0
33149,1,0,0,1,1,0,88,1,9,0
33804,1,1,1,1,1,0,88,1,9,0
34158,1,1,1,1,1,0,88,1,9,0
35017,1,0,1,0,0,0,88,1,9,0
36553,0,1,0,1,0,0,88,1,9,0
37750,0,1,1,0,1,0,88,1,9,0
38747,1,0,1,0,0,0,88,1,9,0
38925,0,1,1,0,1,0,88,1,9,0
39182,0,0,0,0,1,0,88,1,9,0
40212,0,0,0,0,1,0,88,1,9,0
41740,1,0,1,0,0,0,88,1,9,0
43450,1,1,1,1,1,0,88,1,9,0
44645,0,0,1,1,0,0,88,1,9,0
45891,0,0,1,1,0,0,88,1,9,0
46265,1,0,0,1,1,0,88,1,9,0
46753,0,0,0,1,1,1,88,1,9,0
46755,0,1,0,1,0,0,88,1,9,0
48272,0,0,1,1,0,0,88,1,9,0
50461,1,0,1,0,0,0,88,1,9,0
51811,1,1,0,0,0,0,88,1,9,0
53092,0,0,1,1,0,0,88,1,9,0
53853,0,0,0,0,1,0,88,1,9,0
56497,0,0,0,0,1,0,88,1,9,0
61039,0,1,1,0,1,0,88,1,9,0
61556,0,1,1,0,1,0,88,1,9,0
64077,0,0,0,0,1,0,88,1,9,0
64975,0,1,1,1,1,1,88,1,9,0
66879,0,0,1,1,0,0,137,1,9,0
66961,1,1,0,0,0,0,137,1,9,0
67452,1,0,0,1,1,0,137,1,9,0
67696,0,1,1,0,1,0,137,1,9,0
67856,0,1,0,1,0,0,137,1,9,0
68518,1,1,1,1,1,0,137,1,9,0
68628,1,0,1,0,0,0,137,1,9,0
69240,1,0,0,1,1,0,137,1,9,0
69555,0,0,1,1,0,0,137,1,9,0
70073,1,0,1,0,0,0,137,1,9,0
75361,1,1,1,1,1,0,137,1,9,0
78008,0,0,0,0,1,0,137,1,9,0
78913,1,0,1,0,0,0,137,1,9,0
78914,1,0,1,0,0,0,137,1,9,0
79129,1,0,1,0,0,0,137,1,9,0
82135,0,0,0,0,1,0,137,1,9,0
83166,1,1,0,0,0,0,137,1,9,0
83503,0,0,0,0,1,0,137,1,9,0
84088,1,1,0,0,0,0,137,1,9,0
84694,1,0,1,0,0,0,137,1,9,0
84832,1,0,1,0,0,0,137,1,9,0
86819,1,1,1,1,1,0,137,1,9,0
87022,1,0,1,0,0,0,137,1,9,0
87456,0,0,1,1,0,0,137,1,9,0
87909,0,1,1,0,1,0,137,1,9,0
88388,1,1,0,1,0,0,137,1,9,0
88800,1,1,1,1,1,0,137,1,9,0
89767,0,0,1,1,0,0,137,1,9,0
91028,1,1,0,0,0,0,137,1,9,0
91721,1,0,1,0,0,0,137,1,9,0
91739,1,1,0,1,0,0,137,1,9,0
91805,0,0,0,0,1,0,137,1,9,0
92938,0,0,1,1,0,0,137,1,9,0
94115,0,1,0,1,0,0,137,1,9,0
94764,0,0,1,1,0,0,137,1,9,0
94799,1,1,0,0,0,0,137,1,9,0
97189,0,1,0,0,0,0,137,1,9,0
97749,0,0,0,0,1,0,137,1,9,0
98425,0,0,0,0,1,0,137,1,9,0
98814,1,1,1,1,1,0,137,1,9,0
99632,0,1,1,0,1,0,137,1,9,0
99657,1,1,1,1,1,0,137,1,9,0
99993,1,0,0,1,1,0,137,1,9,0
101198,1,1,0,0,0,0,137,1,9,0
101973,1,0,1,0,0,0,137,1,9,0
105268,0,0,0,0,1,0,137,1,9,0
105641,1,0,0,1,1,0,137,1,9,0
106153,0,1,1,0,1,0,137,1,9,0
107187,0,1,1,0,1,0,137,1,9,0
107741,0,1,0,1,0,0,137,1,9,0
107837,0,1,0,0,0,0,137,1,9,0
108151,1,1,0,0,0,0,137,1,9,0
108356,0,0,1,1,0,0,137,1,9,0
108758,0,0,0,0,1,0,137,1,9,0
108856,0,0,0,0,1,0,137,1,9,0
110347,0,0,1,1,0,0,137,1,9,0
110664,1,0,0,1,1,0,137,1,9,0
110681,1,1,1,1,1,0,137,1,9,0
110730,1,1,0,0,0,0,137,1,9,0
110913,0,0,0,0,1,0,137,1,9,0
110946,0,1,0,1,0,0,137,1,9,0
111251,0,0,0,0,1,0,137,1,9,0
111406,0,0,1,1,0,0,137,1,9,0
112064,1,1,0,1,0,0,137,1,9,0
112382,1,1,1,1,1,0,137,1,9,0
112650,0,1,1,0,1,0,137,1,9,0
112918,0,0,0,0,1,0,137,1,9,0
113002,0,1,1,0,1,0,137,1,9,0
113096,1,0,1,0,0,0,137,1,9,0
113809,1,1,0,0,0,0,137,1,9,0
113999,0,1,1,0,1,0,137,1,9,0
114159,0,0,1,1,0,0,137,1,9,0
114238,0,0,1,1,0,0,137,1,9,0
115010,0,0,0,0,1,0,137,1,9,0
115565,1,0,0,1,1,0,137,1,9,0
115672,0,1,1,0,1,0,137,1,9,0
115854,1,0,0,1,1,0,137,1,9,0
116327,1,0,1,0,0,0,137,1,9,0
117506,1,1,0,0,0,0,137,1,9,0
117936,0,0,1,1,0,0,137,1,9,0
119271,1,0,1,0,0,0,137,1,9,0
120409,0,1,1,0,1,0,137,1,9,0
120880,1,1,0,0,0,0,137,1,9,0
121891,0,1,0,1,0,0,137,1,9,0
122144,0,1,1,0,1,0,137,1,9,0
122769,1,0,0,1,1,0,137,1,9,0
123071,0,1,0,1,0,0,137,1,9,0
123403,0,1,0,1,0,0,137,1,9,0
124236,0,1,1,0,1,0,137,1,9,0
125183,1,1,0,0,0,0,137,1,9,0
125788,1,1,0,0,0,0,137,1,9,0
125897,1,1,1,1,1,0,137,1,9,0
126192,0,1,0,1,0,0,137,1,9,0
127050,1,1,0,0,0,0,137,1,9,0
127261,1,1,0,0,0,0,137,1,9,0
127329,1,0,0,1,1,0,137,1,9,0
128392,1,1,1,1,1,0,137,1,9,0
128417,0,0,0,0,1,0,137,1,9,0
129414,1,0,0,1,1,0,137,1,9,0
130082,0,0,1,1,0,0,137,1,9,0
130355,0,1,0,1,0,0,137,1,9,0
130724,1,0,1,0,0,0,137,1,9,0
131588,0,0,0,0,1,0,31,1,9,0
131627,0,0,0,0,1,0,31,1,9,0
134348,1,1,1,1,1,0,31,1,9,0
135327,0,0,0,0,1,0,31,1,9,0
138133,0,0,0,0,1,0,31,1,9,0
146729,1,0,0,1,1,0,31,1,9,0
161895,1,0,1,0,0,0,31,1,9,0
162263,1,1,1,1,1,0,31,1,9,0
162907,0,1,1,0,1,0,31,1,9,0
164600,1,1,0,0,0,0,31,1,9,0
165035,0,1,1,0,1,0,31,1,9,0
167836,1,0,1,0,0,0,31,1,9,0
170112,1,1,1,0,1,1,31,1,9,0
177844,1,0,0,1,1,0,31,1,9,0
179927,0,0,0,0,1,0,31,1,9,0
180886,1,1,1,1,1,0,31,1,9,0
