attempt,a_data,a_basis,b_basis,bob,bmatch,err,irrad
54,0,0,1,1,0,0,137
128,0,1,1,0,1,0,137
221,0,0,0,0,1,0,137
894,1,0,1,0,0,0,137
897,0,0,0,1,1,1,137
1141,0,0,0,0,1,0,137
1311,0,1,0,1,0,0,137
1368,1,0,1,0,0,0,137
1433,0,0,1,1,0,0,137
1448,0,0,0,0,1,0,137
1612,0,0,1,1,0,0,137
1827,0,0,1,1,0,0,137
1979,1,1,1,1,1,0,137
1998,1,0,0,1,1,0,137
2029,0,0,0,0,1,0,137
2048,0,0,0,0,1,0,137
2200,1,0,1,0,0,0,137
2202,1,1,0,0,0,0,137
2348,0,0,0,0,1,0,137
2446,0,1,1,0,1,0,137
2470,1,1,0,0,0,0,137
3039,0,1,0,1,0,0,137
3114,0,0,1,1,0,0,137
3381,0,1,1,0,1,0,137
3438,0,0,1,1,0,0,137
3635,1,0,0,1,1,0,137
3764,1,0,0,1,1,0,137
3863,0,0,0,0,1,0,137
3864,0,0,1,1,0,0,137
3883,0,1,0,1,0,0,137
3934,0,0,1,1,0,0,137
4219,1,1,1,1,1,0,137
4259,0,0,0,0,1,0,137
4329,1,1,1,1,1,0,137
4336,1,0,0,1,1,0,137
4373,0,0,1,1,0,0,137
4382,1,0,0,1,1,0,137
4407,0,0,0,0,1,0,137
4485,0,1,0,1,0,0,137
4647,1,0,0,1,1,0,137
4649,0,0,0,0,1,0,137
4727,0,0,1,1,0,0,137
4813,1,0,0,1,1,0,137
4830,1,1,0,0,0,0,137
4951,0,1,0,1,0,0,137
4988,1,0,0,1,1,0,137
5316,1,1,0,0,0,0,137
5331,1,0,0,1,1,0,137
5333,1,1,1,1,1,0,137
5632,1,0,0,1,1,0,137
5825,1,0,1,0,0,0,137
5948,1,0,0,1,1,0,137
6005,0,1,0,1,0,0,137
6099,1,0,1,0,0,0,137
6117,1,0,0,1,1,0,137
6199,1,0,0,1,1,0,137
6495,1,0,1,0,0,0,137
6760,0,1,0,1,0,0,137
6829,0,1,0,1,0,0,137
6867,1,0,1,0,0,0,137
7056,0,0,1,1,0,0,137
7167,0,1,1,0,1,0,137
7208,1,1,1,1,1,0,137
7332,0,0,1,1,0,0,137
7381,0,1,0,1,0,0,137
7504,0,1,0,1,0,0,137
7532,0,0,1,1,0,0,137
7549,0,0,1,0,0,0,137
7757,1,1,0,0,0,0,137
8004,1,1,1,1,1,0,137
8104,1,1,0,0,0,0,137
8111,1,0,0,1,1,0,137
8385,0,0,1,1,0,0,137
8387,1,0,1,0,0,0,137
8409,0,0,1,1,0,0,137
8428,1,1,0,0,0,0,137
8667,1,0,0,1,1,0,137
9062,1,0,1,0,0,0,137
9076,1,0,1,0,0,0,137
9085,1,1,1,1,1,0,137
9129,0,0,0,0,1,0,137
9182,0,0,0,0,1,0,137
9289,1,0,1,0,0,0,137
9360,0,0,0,0,1,0,137
9635,0,0,1,0,0,0,137
9702,1,0,0,1,1,0,137
9858,0,1,0,1,0,0,137
9867,1,1,1,1,1,0,137
9925,1,0,0,1,1,0,137
10044,0,1,0,1,0,0,137
10158,0,0,0,0,1,0,137
10323,1,0,0,1,1,0,137
10395,0,0,0,0,1,0,137
10399,0,1,0,1,0,0,137
10460,1,1,0,0,0,0,137
10595,1,0,0,1,1,0,137
10713,1,1,1,1,1,0,137
10855,0,1,1,0,1,0,137
10902,0,0,1,1,0,0,137
11304,0,1,1,0,1,0,137
11467,0,0,0,0,1,0,137
11475,0,1,1,0,1,0,137
11509,1,1,1,1,1,0,137
11548,0,0,0,0,1,0,137
11567,1,1,1,1,1,0,137
11938,1,1,0,0,0,0,137
11953,0,1,0,1,0,0,137
12151,0,1,1,0,1,0,137
12376,1,1,0,0,0,0,137
12620,1,1,1,1,1,0,137
12657,0,1,1,0,1,0,137
12758,1,0,1,0,0,0,137
12788,1,1,1,1,1,0,137
13191,1,0,0,1,1,0,137
13267,0,1,0,1,0,0,137
13269,0,0,0,0,1,0,137
13397,1,0,1,0,0,0,137
13485,0,0,1,0,0,0,137
13496,1,1,0,0,0,0,137
13552,0,1,1,0,1,0,137
13803,0,1,0,1,0,0,137
13992,1,0,1,0,0,0,137
14091,1,0,0,1,1,0,137
14129,1,1,1,1,1,0,137
14203,1,0,1,0,0,0,137
14416,1,0,0,1,1,0,137
14426,1,1,0,0,0,0,137
14447,0,0,0,0,1,0,137
14675,0,1,0,1,0,0,137
14822,0,1,1,0,1,0,137
14912,0,1,0,1,0,0,137
14927,1,1,1,1,1,0,137
15094,0,0,0,0,1,0,137
15245,0,1,0,1,0,0,137
15259,0,1,0,1,0,0,137
15273,1,1,1,1,1,0,137
15394,1,0,0,1,1,0,137
15574,1,1,1,1,1,0,137
15611,0,0,1,1,0,0,137
