attempt,a_data,a_basis,b_basis,bob,bmatch,err,irrad,mode,mu,lam_idx
3281,1,0,1,0,0,0,71,1,9,0
3563,1,0,0,1,1,0,71,1,9,0
4090,1,0,1,0,0,0,71,1,9,0
8232,0,1,1,0,1,0,71,1,9,0
9293,1,0,0,1,1,0,71,1,9,0
11832,1,1,0,0,0,0,71,1,9,0
13063,1,0,1,0,0,0,71,1,9,0
13069,0,0,0,0,1,0,71,1,9,0
14015,1,1,0,0,0,0,71,1,9,0
16396,0,0,0,0,1,0,71,1,9,0
16869,1,1,1,1,1,0,71,1,9,0
17131,1,1,1,1,1,0,71,1,9,0
19207,1,1,1,1,1,0,71,1,9,0
22006,0,1,1,0,1,0,71,1,9,0
24085,0,0,0,0,1,0,71,1,9,0
25782,1,0,1,0,0,0,71,1,9,0
26005,1,1,0,0,0,0,71,1,9,0
26857,0,0,1,1,0,0,71,1,9,0
27143,1,0,0,1,1,0,71,1,9,0
29724,1,1,0,0,0,0,71,1,9,0
30693,1,0,0,1,1,0,71,1,9,0
31525,0,1,1,0,1,0,71,1,9,0
32327,1,1,1,1,1,0,71,1,9,0
32834,1,0,0,1,1,0,71,1,9,0
33034,0,1,1,0,1,0,71,1,9,0
35084,0,1,0,1,0,0,71,1,9,0
36073,0,1,0,1,0,0,71,1,9,0
39187,1,0,1,1,0,0,71,1,9,0
39913,0,1,1,0,1,0,71,1,9,0
41050,0,0,1,1,0,0,71,1,9,0
41307,0,0,1,1,0,0,71,1,9,0
41819,0,1,0,1,0,0,71,1,9,0
42141,0,1,0,1,0,0,71,1,9,0
42326,1,1,1,1,1,0,71,1,9,0
43507,0,0,1,1,0,0,71,1,9,0
43693,1,0,0,1,1,0,71,1,9,0
43938,1,1,1,1,1,0,71,1,9,0
44979,0,0,1,1,0,0,71,1,9,0
46122,0,1,0,1,0,0,71,1,9,0
48600,1,1,0,0,0,0,71,1,9,0
49994,0,1,0,1,0,0,71,1,9,0
50033,0,1,0,1,0,0,71,1,9,0
50562,1,0,1,0,0,0,71,1,9,0
51949,1,0,0,1,1,0,71,1,9,0
52520,0,1,1,0,1,0,71,1,9,0
53614,1,0,0,1,1,0,71,1,9,0
54609,0,1,1,0,1,0,71,1,9,0
55104,1,0,0,1,1,0,71,1,9,0
59056,1,1,0,0,0,0,71,1,9,0
60672,1,1,0,0,0,0,71,1,9,0
62601,0,1,1,0,1,0,71,1,9,0
64417,0,1,0,1,0,0,71,1,9,0
65602,0,1,1,0,1,0,184,2,9,0
67313,0,0,1,1,0,0,184,2,9,0
69053,0,1,0,1,0,0,184,2,9,0
69108,1,1,1,1,1,0,184,2,9,0
69837,1,1,0,0,0,0,184,2,9,0
69843,0,0,0,0,1,0,184,2,9,0
70462,0,1,1,0,1,0,184,2,9,0
70993,1,0,1,0,0,0,184,2,9,0
72399,0,0,1,1,0,0,184,2,9,0
73304,1,0,1,0,0,0,184,2,9,0
73508,1,0,0,1,1,0,184,2,9,0
74082,1,1,0,0,0,0,184,2,9,0
75277,1,0,0,1,1,0,184,2,9,0
75858,0,0,0,0,1,0,184,2,9,0
75912,1,0,1,0,0,0,184,2,9,0
76615,1,0,0,1,1,0,184,2,9,0
76786,1,1,1,1,1,0,184,2,9,0
77047,1,0,0,1,1,0,184,2,9,0
77397,1,1,0,0,0,0,184,2,9,0
77553,0,0,1,1,0,0,184,2,9,0
77669,1,0,1,0,0,0,184,2,9,0
77837,1,0,1,0,0,0,184,2,9,0
78422,0,1,1,0,1,0,184,2,9,0
78836,1,1,0,0,0,0,184,2,9,0
78971,0,0,0,0,1,0,184,2,9,0
80084,0,1,1,0,1,0,184,2,9,0
80224,0,0,1,1,0,0,184,2,9,0
80314,0,0,0,0,1,0,184,2,9,0
81921,0,0,1,1,0,0,184,2,9,0
83515,0,0,0,0,1,0,184,2,9,0
83840,1,0,1,0,0,0,184,2,9,0
84865,0,0,0,0,1,0,184,2,9,0
85181,0,1,1,1,1,1,184,2,9,0
85685,1,1,1,1,1,0,184,2,9,0
85771,1,0,1,0,0,0,184,2,9,0
85914,0,1,1,0,1,0,184,2,9,0
86518,0,1,1,0,1,0,184,2,9,0
86541,1,0,1,0,0,0,184,2,9,0
86609,0,1,0,1,0,0,184,2,9,0
86989,0,0,0,0,1,0,184,2,9,0
87480,0,0,0,0,1,0,184,2,9,0
87682,1,1,1,1,1,0,184,2,9,0
87740,0,1,0,1,0,0,184,2,9,0
87827,0,1,1,0,1,0,184,2,9,0
88041,0,1,0,1,0,0,184,2,9,0
88085,1,0,0,1,1,0,184,2,9,0
89028,1,0,0,1,1,0,184,2,9,0
89441,0,1,0,1,0,0,184,2,9,0
89750,0,0,0,0,1,0,184,2,9,0
89766,0,0,0,0,1,0,184,2,9,0
90396,1,1,0,0,0,0,184,2,9,0
91586,0,1,1,0,1,0,184,2,9,0
91699,0,0,0,0,1,0,184,2,9,0
93236,0,0,0,0,1,0,184,2,9,0
93398,0,1,1,0,1,0,184,2,9,0
94862,1,1,0,0,0,0,184,2,9,0
95282,0,1,0,1,0,0,184,2,9,0
95528,1,1,0,0,0,0,184,2,9,0
96585,0,1,0,1,0,0,184,2,9,0
97214,0,0,1,1,0,0,184,2,9,0
97424,0,1,0,1,0,0,184,2,9,0
99060,1,0,1,0,0,0,184,2,9,0
100208,1,0,1,0,0,0,184,2,9,0
100877,0,1,1,0,1,0,184,2,9,0
101321,0,1,1,1,1,1,184,2,9,0
101607,1,1,1,1,1,0,184,2,9,0
101611,0,0,1,1,0,0,184,2,9,0
101643,0,0,1,1,0,0,184,2,9,0
102346,1,0,1,0,0,0,184,2,9,0
102918,0,1,0,1,0,0,184,2,9,0
102922,1,0,0,1,1,0,184,2,9,0
103025,0,1,0,1,0,0,184,2,9,0
103583,1,0,1,0,0,0,184,2,9,0
103628,0,1,0,1,0,0,184,2,9,0
104357,1,1,1,1,1,0,184,2,9,0
105001,1,1,0,0,0,0,184,2,9,0
106080,1,0,1,0,0,0,184,2,9,0
107415,1,0,1,0,0,0,184,2,9,0
107799,1,0,1,0,0,0,184,2,9,0
107998,0,0,1,1,0,0,184,2,9,0
108389,0,0,0,0,1,0,184,2,9,0
109696,0,0,1,1,0,0,184,2,9,0
110081,0,1,1,0,1,0,184,2,9,0
110259,1,0,1,0,0,0,184,2,9,0
110736,0,1,1,0,1,0,184,2,9,0
111960,0,0,1,1,0,0,184,2,9,0
112583,0,0,0,0,1,0,184,2,9,0
112720,0,1,0,1,0,0,184,2,9,0
113778,0,0,0,0,1,0,184,2,9,0
114565,1,0,0,1,1,0,184,2,9,0
115687,0,1,0,1,0,0,184,2,9,0
117016,0,1,0,1,0,0,184,2,9,0
117709,0,1,0,1,0,0,184,2,9,0
118135,1,1,1,1,1,0,184,2,9,0
118264,1,0,1,0,0,0,184,2,9,0
118618,0,0,1,1,0,0,184,2,9,0
118941,1,0,1,0,0,0,184,2,9,0
119290,0,0,0,0,1,0,184,2,9,0
120070,1,1,0,0,0,0,184,2,9,0
120747,1,0,0,1,1,0,184,2,9,0
120837,0,1,1,0,1,0,184,2,9,0
121400,1,0,1,1,0,0,184,2,9,0
122073,1,0,1,0,0,0,184,2,9,0
123143,1,1,0,0,0,0,184,2,9,0
125372,0,0,0,0,1,0,184,2,9,0
125728,0,0,1,1,0,0,184,2,9,0
127358,0,1,0,1,0,0,184,2,9,0
128907,1,1,0,0,0,0,184,2,9,0
128926,1,0,0,1,1,0,184,2,9,0
129137,1,1,0,0,0,0,184,2,9,0
129207,0,0,0,0,1,0,184,2,9,0
129972,0,1,0,1,0,0,184,2,9,0
130489,1,1,0,1,0,0,184,2,9,0
130958,0,1,0,1,0,0,184,2,9,0
131204,1,0,1,0,0,0,101,2,12,0
131332,0,0,1,1,0,0,101,2,12,0
131393,1,0,0,1,1,0,101,2,12,0
132314,0,0,1,1,0,0,101,2,12,0
132617,1,0,0,1,1,0,101,2,12,0
132927,0,1,0,1,0,0,101,2,12,0
133663,1,0,1,0,0,0,101,2,12,0
134013,0,1,1,0,1,0,101,2,12,0
134795,0,1,0,1,0,0,101,2,12,0
134809,0,1,1,0,1,0,101,2,12,0
135023,1,0,1,0,0,0,101,2,12,0
135359,1,0,1,0,0,0,101,2,12,0
135584,0,1,1,0,1,0,101,2,12,0
136125,0,1,0,1,0,0,101,2,12,0
136405,0,0,0,0,1,0,101,2,12,0
136951,0,0,0,0,1,0,101,2,12,0
137348,0,0,1,1,0,0,101,2,12,0
137779,0,0,1,1,0,0,101,2,12,0
138499,0,0,1,1,0,0,101,2,12,0
139109,0,1,1,0,1,0,101,2,12,0
140070,1,1,0,0,0,0,101,2,12,0
140151,1,1,0,0,0,0,101,2,12,0
140704,1,1,1,1,1,0,101,2,12,0
141920,0,0,0,0,1,0,101,2,12,0
142124,0,0,1,1,0,0,101,2,12,0
144477,1,0,0,1,1,0,101,2,12,0
144768,0,0,0,0,1,0,101,2,12,0
145120,0,0,0,0,1,0,101,2,12,0
146791,1,0,0,1,1,0,101,2,12,0
147609,0,0,1,1,0,0,101,2,12,0
147953,1,1,1,1,1,0,101,2,12,0
150113,1,1,1,1,1,0,101,2,12,0
150494,0,0,1,1,0,0,101,2,12,0
150506,0,1,0,1,0,0,101,2,12,0
151916,0,1,1,0,1,0,101,2,12,0
152589,1,0,1,0,0,0,101,2,12,0
152900,1,0,1,0,0,0,101,2,12,0
153947,0,0,1,1,0,0,101,2,12,0
154322,1,0,1,0,0,0,101,2,12,0
156408,1,0,1,1,0,0,101,2,12,0
157587,0,0,0,0,1,0,101,2,12,0
157981,0,1,0,1,0,0,101,2,12,0
158129,1,1,0,0,0,0,101,2,12,0
158560,1,1,1,1,1,0,101,2,12,0
158733,1,1,1,1,1,0,101,2,12,0
159099,0,0,0,0,1,0,101,2,12,0
160104,1,1,0,0,0,0,101,2,12,0
160983,1,1,0,0,0,0,101,2,12,0
161336,0,1,1,0,1,0,101,2,12,0
163529,1,1,1,1,1,0,101,2,12,0
164771,0,0,0,0,1,0,101,2,12,0
165306,1,1,0,0,0,0,101,2,12,0
166242,1,1,1,1,1,0,101,2,12,0
166944,0,0,0,0,1,0,101,2,12,0
166997,1,0,0,1,1,0,101,2,12,0
