attempt,a_data,a_basis,b_basis,bob,bmatch,err,irrad
53,0,0,1,1,0,0,154
84,1,1,1,1,1,0,154
352,0,0,1,1,0,0,154
362,0,1,0,1,0,0,154
679,0,0,0,0,1,0,154
789,1,0,0,1,1,0,154
1118,0,1,0,1,0,0,154
1163,0,1,0,1,0,0,154
1197,1,0,0,1,1,0,154
1213,0,1,0,1,0,0,154
1221,0,1,1,0,1,0,154
1224,0,0,0,0,1,0,154
1249,0,1,1,0,1,0,154
1395,0,0,0,0,1,0,154
1411,0,1,1,0,1,0,154
1450,1,0,1,0,0,0,154
1478,1,1,0,0,0,0,154
1518,0,0,0,0,1,0,154
1539,1,0,0,1,1,0,154
1682,1,1,1,1,1,0,154
1944,1,0,0,1,1,0,154
2252,1,0,0,1,1,0,154
2315,1,1,1,1,1,0,154
2360,0,0,1,1,0,0,154
2604,0,1,0,1,0,0,154
2623,1,0,0,1,1,0,154
2647,0,0,0,0,1,0,154
2659,1,1,0,0,0,0,154
2692,1,0,0,1,1,0,154
2892,1,1,1,1,1,0,154
2936,1,1,0,0,0,0,154
2967,0,0,0,0,1,0,154
2968,0,1,1,0,1,0,154
2984,0,1,1,0,1,0,154
2999,1,0,1,0,0,0,154
3039,0,0,0,0,1,0,154
3072,1,0,1,0,0,0,154
3092,1,0,1,0,0,0,154
3243,0,1,0,1,0,0,154
3419,0,0,0,0,1,0,154
3422,0,0,1,1,0,0,154
3510,0,0,0,0,1,0,154
3549,1,0,1,0,0,0,154
3955,1,1,1,1,1,0,154
3969,1,1,0,0,0,0,154
3997,0,0,0,0,1,0,154
4004,0,1,0,1,0,0,154
4154,1,1,0,0,0,0,154
4289,1,0,1,0,0,0,154
4311,0,0,0,0,1,0,154
4316,0,0,0,0,1,0,154
4383,1,1,1,1,1,0,154
4392,1,0,0,1,1,0,154
4404,0,1,0,1,0,0,154
4490,0,0,0,0,1,0,154
4629,0,1,0,1,0,0,154
4722,1,0,0,1,1,0,154
4779,1,0,1,0,0,0,154
4897,1,1,1,1,1,0,154
4966,1,1,1,1,1,0,154
5008,0,1,0,1,0,0,154
5188,0,1,0,1,0,0,154
5283,1,1,0,0,0,0,154
5307,1,0,1,0,0,0,154
5339,1,0,0,1,1,0,154
5581,1,0,0,1,1,0,154
5600,1,0,0,1,1,0,154
5675,0,1,1,1,1,1,154
5682,1,1,0,0,0,0,154
5723,0,1,0,1,0,0,154
5750,0,0,1,1,0,0,154
5781,0,1,0,1,0,0,154
5995,1,1,0,0,0,0,154
6305,1,0,1,0,0,0,154
6360,1,1,1,1,1,0,154
6409,0,0,1,1,0,0,154
6456,0,0,1,1,0,0,154
6484,1,1,1,1,1,0,154
6489,0,1,1,0,1,0,154
6513,1,0,0,1,1,0,154
6517,0,0,0,0,1,0,154
6570,0,0,1,1,0,0,154
6693,0,1,1,0,1,0,154
6723,0,1,1,0,1,0,154
6828,0,0,0,0,1,0,154
6986,0,0,1,1,0,0,154
7337,1,0,0,0,1,1,154
7503,0,0,0,0,1,0,154
7589,0,1,0,1,0,0,154
7930,0,0,1,1,0,0,154
7953,1,1,1,1,1,0,154
8063,0,1,0,1,0,0,154
8080,0,1,1,0,1,0,154
8083,1,1,1,1,1,0,154
8114,0,1,1,0,1,0,154
8192,0,1,0,1,0,0,154
8222,0,0,1,0,0,0,154
8275,1,1,1,1,1,0,154
8339,1,1,0,0,0,0,154
8462,1,0,0,1,1,0,154
8552,1,0,0,1,1,0,154
8577,0,0,1,1,0,0,154
8634,1,0,0,1,1,0,154
8679,1,0,1,0,0,0,154
8698,0,0,0,0,1,0,154
8714,1,0,0,1,1,0,154
8715,0,0,0,0,1,0,154
8808,0,0,1,1,0,0,154
8898,1,0,0,1,1,0,154
8954,0,0,0,0,1,0,154
9078,0,1,0,1,0,0,154
9120,1,1,1,1,1,0,154
9181,1,0,1,0,0,0,154
9206,0,1,1,0,1,0,154
9336,1,0,1,0,0,0,154
9413,0,1,1,0,1,0,154
9425,0,0,1,0,0,0,154
9550,1,1,1,1,1,0,154
9661,1,0,1,0,0,0,154
9669,1,1,0,0,0,0,154
9714,0,1,0,1,0,0,154
9755,1,1,1,1,1,0,154
9853,0,0,1,1,0,0,154
