water,water_name,distance_m,turb,turb_name,lam_nm,sigma2_s,sigma2_ho,sigma2_h,cv_h,L_dB,nbar,e_pol_pct,p_click,sift_eff,qber_pct,skr_bps,qber_win_std_pct,qber_win_p90_pct,outage,skr_outage_bps,secure_mean,secure_outage
clear_ocean,Clear ocean,5.0,1,VERYWEAK,450,0.0001,0.0008663269738547174,0.0009664136065521411,0.031087193610104806,-2.3690221119720003,0.01043206522849413,1.5820383619589724,0.010390705048429205,0.005195352524214603,1.6426354950882422,39393.721538574755,0.7946418481257824,2.7027027027027026,0.0,39861.78499444104,True,True
clear_ocean,Clear ocean,10.0,1,VERYWEAK,450,0.0001,0.0044256157237324515,0.004526058285304613,0.06727598594821642,-4.738044223944001,0.006045999162864238,2.079384560219974,0.006040680527801046,0.003020340263900523,2.1825403123282365,21047.51203457826,1.2167888394922493,3.79746835443038,0.0,21427.18806646548,True,True
clear_ocean,Clear ocean,15.0,1,VERYWEAK,450,0.0001,0.01085664023308624,0.010957725897109638,0.10467915693732749,-7.107066335916001,0.003504014313245592,2.504362116840387,0.0035108369467927725,0.0017554184733963862,2.680262388306994,11301.576019231577,1.7515239389154817,5.0,0.0,11692.492163871895,True,True
clear_ocean,Clear ocean,20.0,1,VERYWEAK,450,0.00012006806434905532,0.020005134640010473,0.020127604682153022,0.1418717895924099,-9.476088447888001,0.0020307836598530598,2.867501363229632,0.002041696640462165,0.0010208483202310825,3.167642968937101,6069.338806566653,2.4892672294513427,6.521739130434782,0.00675,6390.790496159541,True,True
clear_ocean,Clear ocean,25.0,1,VERYWEAK,450,0.0003332138404455216,0.031711744830410164,0.03205552546313761,0.1790405693219769,-11.845110559860004,0.0011769593113637306,3.1778003665860233,0.001189251674930225,0.0005946258374651126,3.689666106451924,3236.216440393068,3.539464834018461,8.333333333333332,0.03575,3631.4080813424825,True,True
clear_ocean,Clear ocean,30.0,1,VERYWEAK,450,0.0009247376816342181,0.0458404994894306,0.046807627608287605,0.21635070512546892,-14.610785142785428,0.0006225783165887754,3.442947889034652,0.0006353764639221993,0.00031768823196109963,4.395563493639661,1523.9914515070188,5.4700878671777,11.76470588235294,0.12625,1928.7347737305545,True,False
clear_ocean,Clear ocean,35.0,1,VERYWEAK,450,0.002566339317391107,0.06227759817450083,0.06500376294067989,0.2549583553066655,-18.318743047369693,0.00026509296361225203,3.669513904072409,0.00027805438382544345,0.00013902719191272173,5.835669154691107,498.03221365042305,10.343840138000306,20.0,0.26225,885.06739321743,True,False
clear_ocean,Clear ocean,40.0,1,VERYWEAK,450,0.007122125141854652,0.08092704049233278,0.08862553814393381,0.29770041676815606,-21.847604098895424,0.00011762837440353638,3.8631123910431304,0.00013061992737861683,6.530996368930841e-05,8.454949624129844,107.09504699044388,19.933536979632873,50.0,0.28775,456.3412083459707,True,False
clear_ocean,Clear ocean,45.0,1,VERYWEAK,450,0.019765377942229382,0.10170627955922218,0.12348192055603735,0.3513999438759735,-25.239676659815053,5.3864773640578125e-05,4.028540441455307,6.686262273658539e-05,3.343131136829269e-05,12.966744937155411,0.0,28.450642641767455,50.0,0.39775,237.8999999803467,False,False
clear_ocean,Clear ocean,50.0,1,VERYWEAK,450,0.054853032966707224,0.12454400221119735,0.18622865143700107,0.4315421780510001,-28.523848583000557,2.52864374461462e-05,4.169897123996493,3.828578902742574e-05,1.914289451371287e-05,19.731616583077386,0.0,30.695017880765906,50.0,0.57475,127.24999998948769,False,False
clear_ocean,Clear ocean,55.0,1,VERYWEAK,450,0.1522285703031335,0.149377346429461,0.3243454166152271,0.5695133155732419,-31.720724398137058,1.2111559450616787e-05,4.290685053548121,2.5111328656790555e-05,1.2555664328395277e-05,27.954178849136905,0.0,29.960216905900584,100.0,0.70725,75.79999999373806,False,False
clear_ocean,Clear ocean,60.0,1,VERYWEAK,450,0.4224659305639694,0.17615118937523339,0.6730349960785607,0.8203871013604253,-34.845517727897054,5.898216806759988e-06,4.393897180934588,1.889812273581093e-05,9.449061367905465e-06,35.76630817883178,0.0,28.393270476176806,100.0,0.78075,51.69999999572899,False,False
clear_ocean,Clear ocean,65.0,1,VERYWEAK,450,1.172430787019004,0.2048153607810664,1.6173779824341974,1.2717617632379885,-37.90978196505329,2.9126902939607356e-06,4.4820909539314755,1.5912648187232925e-05,7.956324093616463e-06,41.66842099468134,0.0,26.73120044224227,100.0,0.83375,37.09999999693511,False,False
clear_ocean,Clear ocean,70.0,1,VERYWEAK,450,3.2537391796659016,0.23532482847250624,4.254749622487559,2.0627044438037068,-40.92249774445332,1.4555352602474559e-06,4.55745168713584,1.4455515279010456e-05,7.227757639505228e-06,45.424428955031296,0.0,26.073738584061935,100.0,0.8455,34.44999999715403,False,False
clear_ocean,Clear ocean,75.0,1,VERYWEAK,450,9.029802668531707,0.2676392458622761,11.714171490884976,3.4225971850168078,-43.89078432397418,7.348421729248967e-07,4.621846710912631,1.3734832350009718e-05,6.867416175004859e-06,47.57220983708754,0.0,25.59433768488214,100.0,0.86,30.94999999744317,False,False
clear_ocean,Clear ocean,80.0,1,VERYWEAK,450,25.05957968056761,0.3017205324773876,32.92228993792538,5.737794867187688,-46.82038090795105,3.74312572294965e-07,4.6768716411500835,1.3374307636149219e-05,6.687153818074609e-06,48.73154029782707,0.0,25.277006665588825,100.0,0.86825,29.149999997591873,False,False
clear_ocean,Clear ocean,5.0,2,WEAK,450,0.0001,0.003660410688081383,0.003760776729150095,0.06132517206783928,-2.3690221119720003,0.01043206522849413,1.5820383619589724,0.010390705048429205,0.005195352524214603,1.6426354950882422,39393.721538574755,0.7967479232801989,2.6717557251908395,0.0,39881.9089369365,True,True
clear_ocean,Clear ocean,10.0,2,WEAK,450,0.0001,0.01807484144549735,0.018176648929641992,0.13482080302995525,-4.738044223944001,0.006045999162864238,2.079384560219974,0.006040680527801046,0.003020340263900523,2.1825403123282365,21047.51203457826,1.2219185369687422,3.788837744533946,0.0,21458.563006069788,True,True
clear_ocean,Clear ocean,15.0,2,WEAK,450,0.0001,0.04374489091256034,0.04384926540165157,0.2094021618839012,-7.107066335916001,0.003504014313245592,2.504362116840387,0.0035108369467927725,0.0017554184733963862,2.680262388306994,11301.576019231577,1.7639476662490745,5.0,0.00025,11701.079586593703,True,True
clear_ocean,Clear ocean,20.0,2,WEAK,450,0.00012006806434905532,0.08000829262915939,0.08013796713433652,0.2830865011517443,-9.476088447888001,0.0020307836598530598,2.867501363229632,0.002041696640462165,0.0010208483202310825,3.167642968937101,6069.338806566653,2.5878992682863573,6.559534081104398,0.01025,6442.920310287257,True,True
clear_ocean,Clear ocean,25.0,2,WEAK,450,0.0003332138404455216,0.1262195063470557,0.12659477827395027,0.3558015995944232,-11.845110559860004,0.0011769593113637306,3.1778003665860233,0.001189251674930225,0.0005946258374651126,3.689666106451924,3236.216440393068,3.76359923704468,8.333333333333332,0.04575,3673.2018781819806,True,True
clear_ocean,Clear ocean,30.0,2,WEAK,450,0.0009247376816342181,0.18183642450196588,0.1829293131772307,0.42770236517610083,-14.610785142785428,0.0006225783165887754,3.442947889034652,0.0006353764639221993,0.00031768823196109963,4.395563493639661,1523.9914515070188,5.8856878931217045,12.5,0.1385,1917.2608530754524,True,False
clear_ocean,Clear ocean,35.0,2,WEAK,450,0.002566339317391107,0.24640900095397197,0.24960770937867038,0.49960755536587953,-18.318743047369693,0.00026509296361225203,3.669513904072409,0.00027805438382544345,0.00013902719191272173,5.835669154691107,498.03221365042305,12.30338540980478,20.0,0.25425,883.17748454553,True,False
clear_ocean,Clear ocean,40.0,2,WEAK,450,0.007122125141854652,0.31955942907675444,0.3289574964627535,0.5735481640304967,-21.847604098895424,0.00011762837440353638,3.8631123910431304,0.00013061992737861683,6.530996368930841e-05,8.454949624129844,107.09504699044388,21.732628622546066,50.0,0.31525,438.13070241361714,True,False
clear_ocean,Clear ocean,45.0,2,WEAK,450,0.019765377942229382,0.4009635409067263,0.42865411477603166,0.6547168202941113,-25.239676659815053,5.3864773640578125e-05,4.028540441455307,6.686262273658539e-05,3.343131136829269e-05,12.966744937155411,0.0,28.821046246725977,50.0,0.43625,231.66994547537345,False,False
clear_ocean,Clear ocean,50.0,2,WEAK,450,0.054853032966707224,0.49034189518859456,0.5720916682970394,0.7563674162052721,-28.523848583000557,2.52864374461462e-05,4.169897123996493,3.828578902742574e-05,1.914289451371287e-05,19.731616583077386,0.0,30.286353452575444,50.0,0.5955,126.09999998958271,False,False
clear_ocean,Clear ocean,55.0,2,WEAK,450,0.1522285703031335,0.5874486145641199,0.8291036475889055,0.9105512877311774,-31.720724398137058,1.2111559450616787e-05,4.290685053548121,2.5111328656790555e-05,1.2555664328395277e-05,27.954178849136905,0.0,29.780821149413146,69.99999999999696,0.71,76.29999999369673,False,False
clear_ocean,Clear ocean,60.0,2,WEAK,450,0.4224659305639694,0.6920692579643729,1.4069108716089769,1.1861327377696718,-34.845517727897054,5.898216806759988e-06,4.393897180934588,1.889812273581093e-05,9.449061367905465e-06,35.76630817883178,0.0,28.46428648080101,100.0,0.78175,51.94999999570833,False,False
clear_ocean,Clear ocean,65.0,2,WEAK,450,1.172430787019004,0.8040070911155068,2.919080544739925,1.7085316926354994,-37.90978196505329,2.9126902939607356e-06,4.4820909539314755,1.5912648187232925e-05,7.956324093616463e-06,41.66842099468134,0.0,26.829018079518143,100.0,0.83125,38.59999999681119,False,False
clear_ocean,Clear ocean,70.0,2,WEAK,450,3.2537391796659016,0.923086605860673,7.180308841240262,2.679609830038743,-40.92249774445332,1.4555352602474559e-06,4.55745168713584,1.4455515279010456e-05,7.227757639505228e-06,45.424428955031296,0.0,26.07891261459577,100.0,0.84925,33.949999997195334,False,False
clear_ocean,Clear ocean,75.0,2,WEAK,450,9.029802668531707,1.0491512473135813,19.552582648530834,4.421830237416497,-43.89078432397418,7.348421729248967e-07,4.621846710912631,1.3734832350009718e-05,6.867416175004859e-06,47.57220983708754,0.0,25.4229500430003,100.0,0.8645,30.09999999751339,False,False
clear_ocean,Clear ocean,80.0,2,WEAK,450,25.05957968056761,1.1820522529853905,55.863364553834856,7.474179858274408,-46.82038090795105,3.74312572294965e-07,4.6768716411500835,1.3374307636149219e-05,6.687153818074609e-06,48.73154029782707,0.0,25.28472359308718,100.0,0.86725,29.149999997591873,False,False
clear_ocean,Clear ocean,5.0,3,MODERATE,450,0.0001,0.014872317598391336,0.014973804830151094,0.12236749907614805,-2.3690221119720003,0.01043206522849413,1.5820383619589724,0.010390705048429205,0.005195352524214603,1.6426354950882422,39393.721538574755,0.8015792142250523,2.6907554329078995,0.0,39884.127775333836,True,True
clear_ocean,Clear ocean,10.0,3,MODERATE,450,0.0001,0.06990370707291482,0.07001069744362232,0.26459534660235867,-4.738044223944001,0.006045999162864238,2.079384560219974,0.006040680527801046,0.003020340263900523,2.1825403123282365,21047.51203457826,1.2507165596724812,3.816793893129771,0.0,21460.234091041217,True,True
clear_ocean,Clear ocean,15.0,3,MODERATE,450,0.0001,0.1658207819041398,0.16593736398233006,0.4073541014674212,-7.107066335916001,0.003504014313245592,2.504362116840387,0.0035108369467927725,0.0017554184733963862,2.680262388306994,11301.576019231577,1.8814996162416195,5.172413793103448,0.00125,11687.455015508576,True,True
clear_ocean,Clear ocean,20.0,3,MODERATE,450,0.00012006806434905532,0.2999131314633266,0.30006920951684335,0.547785733217691,-9.476088447888001,0.0020307836598530598,2.867501363229632,0.002041696640462165,0.0010208483202310825,3.167642968937101,6069.338806566653,2.932272422904805,6.896551724137931,0.01975,6446.504768082532,True,True
clear_ocean,Clear ocean,25.0,3,MODERATE,450,0.0003332138404455216,0.4697258588093615,0.47021559180717754,0.6857226784985149,-11.845110559860004,0.0011769593113637306,3.1778003665860233,0.001189251674930225,0.0005946258374651126,3.689666106451924,3236.216440393068,4.757911516802408,10.0,0.07775,3641.5543061092453,True,True
clear_ocean,Clear ocean,30.0,3,MODERATE,450,0.0009247376816342181,0.6732414930544361,0.6747888025135373,0.8214552955052011,-14.610785142785428,0.0006225783165887754,3.442947889034652,0.0006353764639221993,0.00031768823196109963,4.395563493639661,1523.9914515070188,8.564561355772952,14.285714285714285,0.159,1918.993314264634,True,False
