attempt,a_data,a_basis,b_basis,bob,bmatch,err,irrad
923,0,0,0,0,1,0,90
7249,1,1,1,1,1,0,90
7291,0,0,0,0,1,0,90
8711,1,0,1,0,0,0,90
12499,1,1,0,0,0,0,90
13487,1,0,0,1,1,0,90
15630,1,0,1,0,0,0,90
17452,1,0,0,1,1,0,90
17694,1,1,1,1,1,0,90
23588,0,1,1,0,1,0,90
25202,0,0,0,0,1,0,90
31856,1,1,0,0,0,0,90
32507,1,0,1,0,0,0,90
32661,1,0,0,1,1,0,90
35869,1,0,1,0,0,0,90
37384,1,0,0,1,1,0,90
40446,0,1,0,1,0,0,90
45135,0,1,1,0,1,0,90
48607,1,0,1,0,0,0,90
59488,0,1,1,0,1,0,90
59919,0,1,0,1,0,0,90
60701,1,1,0,0,0,0,90
63036,0,0,1,1,0,0,90
64571,1,1,0,0,0,0,90
69609,0,1,1,0,1,0,96
72768,1,1,0,0,0,0,96
73935,1,0,0,1,1,0,96
75191,1,0,0,1,1,0,96
78656,0,1,0,1,0,0,96
81024,1,1,1,1,1,0,96
85634,0,1,1,0,1,0,96
87931,0,1,1,0,1,0,96
94633,1,1,1,1,1,0,96
98025,1,1,1,1,1,0,96
104850,0,1,0,1,0,0,96
111971,1,0,1,0,0,0,96
112281,1,1,1,0,1,1,96
117505,0,1,1,0,1,0,96
117623,1,0,0,1,1,0,96
120356,0,1,0,1,0,0,96
122514,1,1,0,0,0,0,96
124067,0,0,0,0,1,0,96
127226,1,1,1,1,1,0,96
133273,0,1,0,1,0,0,119
134435,1,0,1,0,0,0,119
134672,0,1,0,1,0,0,119
135660,0,1,1,0,1,0,119
139178,1,0,1,1,0,0,119
140260,1,0,1,0,0,0,119
142595,0,1,1,0,1,0,119
143091,0,1,1,0,1,0,119
148926,1,1,1,1,1,0,119
149034,1,0,1,0,0,0,119
156556,1,1,1,1,1,0,119
157116,1,0,0,1,1,0,119
159410,1,0,1,0,0,0,119
159839,0,0,1,0,0,0,119
163546,1,1,1,1,1,0,119
167477,1,1,1,1,1,0,119
167971,0,1,1,0,1,0,119
168154,0,0,0,0,1,0,119
170922,1,1,0,0,0,0,119
174546,1,1,1,1,1,0,119
179480,1,1,1,1,1,0,119
186659,1,1,0,0,0,0,119
186668,1,0,0,1,1,0,119
187824,1,0,1,0,0,0,119
190259,1,1,1,1,1,0,119
194086,1,0,1,0,0,0,119
195699,1,0,0,1,1,0,119
199559,0,0,1,1,0,0,83
202405,1,0,0,1,1,0,83
203034,1,0,1,0,0,0,83
205830,1,0,0,1,1,0,83
206750,1,1,0,0,0,0,83
210228,0,0,1,1,0,0,83
211924,0,1,1,0,1,0,83
214876,1,0,0,1,1,0,83
217908,1,0,1,0,0,0,83
224962,1,0,0,1,1,0,83
225869,1,1,1,1,1,0,83
228508,1,1,0,0,0,0,83
232208,1,0,1,0,0,0,83
236488,1,1,0,0,0,0,83
238171,0,0,0,0,1,0,83
239067,1,1,1,0,1,1,83
240485,1,0,0,0,1,1,83
241101,0,0,1,0,0,0,83
246288,1,0,1,0,0,0,83
251994,0,1,1,0,1,0,83
253677,1,0,0,1,1,0,83
254326,1,1,0,0,0,0,83
258065,0,0,1,1,0,0,83
259687,1,1,1,1,1,0,83
262919,1,0,0,1,1,0,88
267746,0,0,1,1,0,0,88
268647,1,0,0,1,1,0,88
272750,1,0,0,1,1,0,88
278335,1,0,1,1,0,0,88
284138,1,0,0,1,1,0,88
289644,0,1,1,0,1,0,88
291204,0,0,0,0,1,0,88
296663,0,0,0,0,1,0,88
296956,1,0,0,1,1,0,88
306098,0,0,1,1,0,0,88
306516,1,0,1,0,0,0,88
307473,0,1,1,0,1,0,88
308419,1,1,0,0,0,0,88
308887,1,0,0,1,1,0,88
321083,0,0,0,0,1,0,88
326264,1,0,1,0,0,0,88
328728,1,1,1,1,1,0,100
333179,1,1,1,1,1,0,100
335050,1,1,0,0,0,0,100
335310,1,0,0,1,1,0,100
338366,0,0,1,1,0,0,100
348568,0,0,0,0,1,0,100
348575,0,0,0,0,1,0,100
348905,1,0,0,0,1,1,100
351006,1,1,0,0,0,0,100
359090,0,1,0,1,0,0,100
359538,1,0,1,0,0,0,100
373148,1,0,0,1,1,0,100
385240,0,0,1,1,0,0,100
388723,0,1,1,0,1,0,100
390647,0,1,0,1,0,0,100
391936,1,0,0,0,1,1,100
395258,0,0,0,0,1,0,248
395367,1,1,1,1,1,0,248
395547,0,1,1,0,1,0,248
396810,1,0,1,0,0,0,248
396997,1,0,1,0,0,0,248
397724,0,1,1,0,1,0,248
399612,1,1,0,0,0,0,248
399752,0,1,1,0,1,0,248
400618,1,0,0,1,1,0,248
400896,1,1,0,0,0,0,248
401985,1,1,1,1,1,0,248
404454,1,0,1,0,0,0,248
405455,1,0,1,0,0,0,248
407066,0,0,1,1,0,0,248
407075,1,1,1,1,1,0,248
407922,1,0,1,0,0,0,248
412000,1,1,0,0,0,0,248
413471,1,1,0,0,0,0,248
413937,1,1,0,0,0,0,248
414172,0,1,0,1,0,0,248
415345,0,1,1,1,1,1,248
416758,0,0,1,1,0,0,248
416807,1,0,1,0,0,0,248
417520,0,1,1,0,1,0,248
420071,1,1,1,1,1,0,248
421337,1,0,1,0,0,0,248
426941,1,1,0,0,0,0,248
430464,1,1,0,0,0,0,248
430542,0,1,1,0,1,0,248
430637,1,0,1,0,0,0,248
432923,0,0,0,0,1,0,248
433484,1,1,1,1,1,0,248
434547,1,0,0,1,1,0,248
