attempt,a_data,a_basis,b_basis,bob,bmatch,err,irrad
154,1,1,1,1,1,0,142
295,0,0,0,0,1,0,142
1020,1,1,0,0,0,0,142
1122,1,1,0,0,0,0,142
1159,0,1,1,0,1,0,142
1304,1,0,1,0,0,0,142
1915,1,1,1,1,1,0,142
2129,0,0,0,0,1,0,142
2776,0,0,1,1,0,0,142
3016,0,0,1,1,0,0,142
3040,0,1,0,1,0,0,142
3405,1,0,1,0,0,0,142
3511,0,1,1,0,1,0,142
4002,0,1,1,0,1,0,142
4250,1,0,1,0,0,0,142
4512,1,0,0,1,1,0,142
4527,1,1,0,0,0,0,142
4556,1,0,1,0,0,0,142
4780,0,0,0,0,1,0,142
4802,0,1,1,0,1,0,142
4950,0,1,0,1,0,0,142
5284,1,1,1,1,1,0,142
5435,1,1,1,1,1,0,142
5943,1,0,1,0,0,0,142
6001,1,1,1,1,1,0,142
6619,0,1,0,1,0,0,142
6856,0,0,0,0,1,0,142
6991,1,0,0,1,1,0,142
7129,0,1,1,0,1,0,142
7269,1,0,0,1,1,0,142
7782,1,1,1,1,1,0,142
8255,1,1,1,1,1,0,142
8369,0,0,1,1,0,0,142
8619,0,0,0,0,1,0,142
9015,0,1,0,1,0,0,142
9261,1,0,0,1,1,0,142
9822,0,0,1,1,0,0,142
9998,1,0,1,0,0,0,142
10037,1,1,1,1,1,0,142
10148,0,0,0,0,1,0,142
10236,1,0,0,1,1,0,142
10387,0,0,0,0,1,0,142
11220,1,1,0,0,0,0,142
11382,1,0,1,0,0,0,142
11635,0,0,0,0,1,0,142
12228,1,1,0,0,0,0,142
12289,1,0,0,0,1,1,142
12303,1,0,1,1,0,0,142
12443,1,1,0,0,0,0,142
12483,1,0,1,0,0,0,142
12644,0,0,1,1,0,0,142
13138,0,0,0,0,1,0,142
13364,1,0,1,0,0,0,142
13440,0,1,0,1,0,0,142
13500,1,0,0,1,1,0,142
13605,0,0,0,0,1,0,142
13714,0,1,1,0,1,0,142
13785,1,0,0,1,1,0,142
14560,0,1,1,0,1,0,142
14574,1,1,0,0,0,0,142
14701,0,1,0,1,0,0,142
14704,0,1,1,0,1,0,142
14929,1,0,1,0,0,0,142
