attempt,a_data,a_basis,b_basis,bob,bmatch,err,irrad,mode,mu,lam_idx
991,0,0,0,1,1,1,110,1,9,0
34927,1,0,1,0,0,0,110,1,9,0
36688,0,0,0,0,1,0,110,1,9,0
63130,0,0,0,0,1,0,110,1,9,0
103985,0,1,1,1,1,1,126,1,9,0
123875,0,0,1,0,0,0,126,1,9,0
131430,0,0,0,0,1,0,123,1,9,0
156397,1,1,0,1,0,0,123,1,9,0
158862,1,1,0,0,0,0,123,1,9,0
190354,0,0,0,0,1,0,123,1,9,0
218291,1,0,0,1,1,0,135,1,9,0
231633,0,0,0,0,1,0,135,1,9,0
253824,1,0,0,1,1,0,135,1,9,0
283982,1,0,1,0,0,0,129,1,9,0
359640,1,0,0,1,1,0,84,1,9,0
364350,1,0,1,1,0,0,84,1,9,0
386643,0,0,1,1,0,0,84,1,9,0
420089,0,0,1,1,0,0,178,1,9,0
420542,0,0,0,0,1,0,178,1,9,0
489349,1,0,0,0,1,1,97,1,9,0
519389,0,1,1,0,1,0,97,1,9,0
537566,0,0,1,1,0,0,131,1,9,0
546387,0,0,1,1,0,0,131,1,9,0
570199,0,1,1,0,1,0,131,1,9,0
581448,1,1,0,0,0,0,131,1,9,0
648156,0,1,0,1,0,0,84,2,12,0
664550,0,0,0,0,1,0,160,3,12,0
679486,0,0,0,0,1,0,160,3,12,0
686343,0,1,1,0,1,0,160,3,12,0
692197,0,1,1,0,1,0,160,3,12,0
713328,1,0,1,1,0,0,160,3,12,0
751810,1,1,1,1,1,0,128,3,12,0
761564,0,0,0,0,1,0,128,3,12,0
788366,0,0,0,1,1,1,120,3,12,0
815201,0,0,1,1,0,0,120,3,12,0
817880,0,0,1,1,0,0,120,3,12,0
849138,0,1,1,0,1,0,120,3,12,0
851569,0,1,0,1,0,0,120,3,12,0
872615,0,0,0,1,1,1,120,3,12,0
885812,1,0,1,1,0,0,120,3,12,0
896576,1,0,1,0,0,0,120,3,12,0
897648,1,1,1,1,1,0,120,3,12,0
931200,1,1,1,1,1,0,105,3,12,0
938768,1,1,1,1,1,0,105,3,12,0
975845,0,1,1,1,1,1,105,3,12,0
1029830,1,1,0,0,0,0,147,3,12,0
1030421,1,1,0,0,0,0,147,3,12,0
1032993,1,1,0,0,0,0,147,3,12,0
1051584,0,1,0,1,0,0,123,3,12,0
1056446,1,1,1,1,1,0,123,3,12,0
1094340,0,1,1,0,1,0,123,3,12,0
1110561,0,1,0,1,0,0,123,3,12,0
1131752,0,1,1,0,1,0,112,3,12,0
1131899,1,1,0,0,0,0,112,3,12,0
1144267,1,0,0,1,1,0,112,3,12,0
1151442,0,1,0,1,0,0,112,3,12,0
1168126,0,1,0,1,0,0,112,3,12,0
1212541,1,1,0,0,0,0,114,3,12,0
1218110,1,0,0,0,1,1,114,3,12,0
1237833,0,0,0,0,1,0,114,3,12,0
1238643,0,1,0,1,0,0,114,3,12,0
1253008,0,1,0,1,0,0,119,3,12,0
1260260,1,0,0,1,1,0,119,3,12,0
1268047,1,1,0,0,0,0,119,3,12,0
1281741,0,0,0,0,1,0,119,3,12,0
1282615,0,1,0,1,0,0,119,3,12,0
1285519,1,1,0,0,0,0,119,3,12,0
1286496,0,0,1,1,0,0,119,3,12,0
1303664,0,0,1,1,0,0,119,3,12,0
1313677,1,0,0,1,1,0,137,3,12,0
1333088,0,1,0,1,0,0,137,3,12,0
1360804,0,1,1,0,1,0,137,3,12,0
1397836,0,0,0,0,1,0,169,3,12,0
1409929,1,1,0,1,0,0,169,3,12,0
1433796,1,0,0,1,1,0,169,3,12,0
1453078,0,0,0,0,1,0,92,3,12,0
1467616,1,0,0,1,1,0,92,3,12,0
1481967,1,0,1,0,0,0,92,3,12,0
1512518,1,1,0,0,0,0,102,3,12,0
1521892,0,0,1,1,0,0,102,3,12,0
1542357,1,1,1,1,1,0,102,3,12,0
1554198,1,0,0,1,1,0,102,3,12,0
1555154,1,1,0,1,0,0,102,3,12,0
1555781,1,1,1,1,1,0,102,3,12,0
1574438,0,1,0,1,0,0,126,3,12,0
1584912,1,0,1,0,0,0,126,3,12,0
1585389,1,0,0,1,1,0,126,3,12,0
1591733,0,0,0,0,1,0,126,3,12,0
1609474,0,0,1,1,0,0,126,3,12,0
1613535,0,0,0,0,1,0,126,3,12,0
1667949,1,0,1,0,0,0,103,3,12,0
1701300,0,0,1,1,0,0,103,3,12,0
1722591,1,1,0,0,0,0,152,3,12,0
1724357,0,1,1,0,1,0,152,3,12,0
1736282,1,0,1,1,0,0,152,3,12,0
1772424,1,0,0,1,1,0,111,3,12,0
1819804,0,0,1,0,0,0,111,3,12,0
1820728,0,1,0,1,0,0,111,3,12,0
1850260,0,0,0,0,1,0,116,3,12,0
1857460,1,0,1,0,0,0,116,3,12,0
1910697,1,0,0,1,1,0,141,3,12,0
1941129,1,0,0,1,1,0,141,3,12,0
2026828,1,0,1,0,0,0,159,3,12,0
2034225,1,1,0,0,0,0,94,3,12,0
2051940,1,1,0,0,0,0,94,3,12,0
2067447,0,1,1,0,1,0,94,3,12,0
2076035,1,1,1,1,1,0,94,3,12,0
2082893,0,1,0,1,0,0,94,3,12,0
2101089,0,0,1,1,0,0,126,3,12,0
2162942,1,1,0,1,0,0,116,3,12,0
2177535,0,0,1,1,0,0,116,3,12,0
2180189,1,1,0,0,0,0,116,3,12,0
2183257,1,0,1,0,0,0,116,3,12,0
2189042,0,1,0,1,0,0,116,3,12,0
2213206,1,0,0,1,1,0,116,3,12,0
2213475,0,0,1,1,0,0,116,3,12,0
2225991,1,1,0,0,0,0,116,3,12,0
2229483,1,1,1,0,1,1,102,3,12,0
2269915,0,1,0,1,0,0,102,3,12,0
2278027,0,0,1,1,0,0,102,3,12,0
2303464,0,1,1,0,1,0,129,3,12,0
2312196,0,0,0,0,1,0,129,3,12,0
2320397,0,0,1,1,0,0,129,3,12,0
2335021,1,1,1,1,1,0,129,3,12,0
2361686,1,0,0,1,1,0,113,3,12,0
2369347,0,0,1,1,0,0,113,3,12,0
2386589,0,0,0,0,1,0,113,3,12,0
2388245,0,0,0,1,1,1,113,3,12,0
2405735,0,1,0,1,0,0,113,3,12,0
2425816,0,0,0,0,1,0,132,3,12,0
2435341,1,0,0,1,1,0,132,3,12,0
2481026,1,1,0,0,0,0,132,3,12,0
2484522,1,0,1,0,0,0,132,3,12,0
2486342,0,0,0,0,1,0,132,3,12,0
2514044,0,1,0,1,0,0,121,3,12,0
2516323,1,0,1,0,0,0,121,3,12,0
2526287,0,1,1,0,1,0,121,3,12,0
2526563,1,0,0,1,1,0,121,3,12,0
2546141,0,0,0,0,1,0,121,3,12,0
2572327,0,1,0,1,0,0,156,3,12,0
2578738,0,1,1,0,1,0,156,3,12,0
2595237,1,1,0,0,0,0,156,3,12,0
2636570,1,1,1,1,1,0,131,3,12,0
2645433,0,1,0,1,0,0,131,3,12,0
2681281,1,0,1,0,0,0,131,3,12,0
2709267,1,0,1,0,0,0,147,3,12,0
2755495,1,1,1,1,1,0,121,3,12,0
2809344,0,0,0,0,1,0,121,3,12,0
2812193,0,1,0,0,0,0,121,3,12,0
2816906,0,1,1,1,1,1,121,3,12,0
2843305,0,1,1,0,1,0,114,3,12,0
2856655,1,1,0,0,0,0,114,3,12,0
2869645,1,0,1,0,0,0,114,3,12,0
2873921,1,1,1,1,1,0,114,3,12,0
2878501,0,1,1,0,1,0,114,3,12,0
2912418,0,1,0,1,0,0,139,3,12,0
2914102,1,0,1,0,0,0,139,3,12,0
2925470,1,1,0,0,0,0,139,3,12,0
2932771,1,1,1,1,1,0,139,3,12,0
2943326,0,1,0,1,0,0,139,3,12,0
2957073,1,0,0,1,1,0,118,3,12,0
2986289,0,0,0,0,1,0,118,3,12,0
2986782,0,1,1,1,1,1,118,3,12,0
2987929,0,0,1,1,0,0,118,3,12,0
