attempt,a_data,a_basis,b_basis,bob,bmatch,err,irrad
23,0,0,1,1,0,0,161
697,0,0,1,1,0,0,161
1219,1,0,1,0,0,0,161
2500,0,1,1,1,1,1,161
2653,1,0,0,1,1,0,161
3274,1,0,1,1,0,0,161
3505,1,1,0,1,0,0,161
5682,1,1,0,0,0,0,161
5715,1,0,1,0,0,0,161
5925,1,1,1,1,1,0,161
5938,0,1,0,1,0,0,161
6184,0,0,0,0,1,0,161
6328,0,1,1,0,1,0,161
6842,0,0,1,1,0,0,161
7292,0,0,0,0,1,0,161
7311,1,1,1,1,1,0,161
8052,1,0,1,0,0,0,161
8122,1,0,0,1,1,0,161
8213,0,1,1,0,1,0,161
8837,0,1,1,0,1,0,161
9079,0,0,1,1,0,0,161
9219,0,1,0,1,0,0,161
9743,0,0,0,0,1,0,161
10168,0,1,1,0,1,0,161
10261,0,0,0,0,1,0,161
10593,1,0,0,1,1,0,161
11788,0,1,1,0,1,0,161
12169,1,0,0,1,1,0,161
12630,1,1,0,0,0,0,161
13022,1,0,1,0,0,0,161
13955,1,1,0,0,0,0,161
15630,0,1,0,1,0,0,161
16673,1,0,1,0,0,0,161
16941,0,1,1,0,1,0,161
17836,0,1,1,0,1,0,161
18048,0,1,1,0,1,0,161
18226,0,0,1,1,0,0,161
18369,0,0,1,1,0,0,161
20683,0,1,1,0,1,0,161
21545,0,1,0,1,0,0,161
21823,0,0,1,1,0,0,161
22238,0,0,1,1,0,0,161
22523,1,0,1,0,0,0,161
23774,1,1,0,0,0,0,161
24512,1,0,1,0,0,0,161
24813,0,1,1,0,1,0,161
24929,1,0,1,0,0,0,161
25936,0,0,0,0,1,0,161
26153,0,0,0,0,1,0,161
26358,0,0,0,0,1,0,161
27060,1,1,0,0,0,0,161
27286,1,1,1,1,1,0,161
28088,0,0,1,1,0,0,161
30418,1,0,1,0,0,0,161
30930,0,1,0,1,0,0,161
31072,0,0,1,1,0,0,161
31306,0,0,1,1,0,0,161
31659,1,1,0,0,0,0,161
33187,1,1,0,0,0,0,161
33346,1,0,0,1,1,0,161
34610,0,0,0,0,1,0,161
34783,0,0,0,0,1,0,161
35017,0,0,0,0,1,0,161
35381,0,1,0,1,0,0,161
35679,0,0,0,0,1,0,161
35698,0,0,0,0,1,0,161
36044,1,0,0,1,1,0,161
36631,0,0,0,0,1,0,161
36985,0,1,0,0,0,0,161
37005,1,1,1,1,1,0,161
37524,1,0,0,1,1,0,161
37793,0,1,1,0,1,0,161
38789,1,0,0,1,1,0,161
40094,0,0,0,0,1,0,161
40291,1,0,1,0,0,0,161
40907,0,0,0,0,1,0,161
41875,1,0,1,0,0,0,161
42753,1,1,1,1,1,0,161
43515,0,1,0,1,0,0,161
46054,0,1,1,0,1,0,161
46441,1,0,1,0,0,0,161
46638,0,1,1,0,1,0,161
46649,1,1,0,0,0,0,161
46942,0,0,0,0,1,0,161
47003,0,1,0,1,0,0,161
47889,1,0,1,0,0,0,161
49319,0,1,1,0,1,0,161
49668,1,0,0,1,1,0,161
49710,0,1,1,0,1,0,161
49724,0,1,1,0,1,0,161
50192,1,0,1,0,0,0,161
51139,0,0,0,0,1,0,161
51396,1,1,0,0,0,0,161
52321,1,0,0,1,1,0,161
54946,1,1,0,0,0,0,161
55626,0,0,0,0,1,0,161
55970,1,1,1,1,1,0,161
56702,0,1,1,0,1,0,161
58152,1,1,1,1,1,0,161
58836,1,0,0,1,1,0,161
59463,0,1,1,0,1,0,161
59930,1,1,1,1,1,0,161
61638,0,0,1,1,0,0,161
61922,0,0,0,0,1,0,161
62103,0,1,0,1,0,0,161
62667,1,1,0,1,0,0,161
62969,0,0,0,0,1,0,161
63115,1,1,1,0,1,1,161
63613,0,0,1,1,0,0,161
63856,0,1,0,1,0,0,161
64034,0,0,0,0,1,0,161
64867,0,1,1,0,1,0,161
65506,0,0,0,0,1,0,161
68153,1,0,0,1,1,0,58
68369,1,0,0,1,1,0,58
68955,1,0,1,0,0,0,58
71343,1,0,0,1,1,0,58
74378,0,0,1,1,0,0,58
76031,0,0,0,0,1,0,58
76570,0,1,1,0,1,0,58
81631,0,1,0,1,0,0,58
82129,0,1,1,0,1,0,58
83925,1,1,1,1,1,0,58
85297,1,0,1,0,0,0,58
86913,1,1,0,0,0,0,58
89465,1,1,0,0,0,0,58
90048,0,1,0,1,0,0,58
90352,0,0,0,0,1,0,58
90589,0,1,1,0,1,0,58
92023,1,1,0,0,0,0,58
93053,1,1,0,0,0,0,58
93467,0,1,1,0,1,0,58
94715,0,0,0,0,1,0,58
100110,0,0,0,0,1,0,58
100365,1,0,0,1,1,0,58
101384,1,1,0,0,0,0,58
102790,0,1,1,0,1,0,58
104450,0,1,1,0,1,0,58
105372,0,1,1,0,1,0,58
105826,0,1,0,1,0,0,58
107228,1,1,0,0,0,0,58
107285,1,0,0,0,1,1,58
107472,1,1,0,0,0,0,58
109326,1,1,0,0,0,0,58
109897,1,0,0,1,1,0,58
110996,0,1,1,0,1,0,58
111961,1,1,0,0,0,0,58
113725,0,0,1,1,0,0,58
114877,0,1,0,1,0,0,58
117813,1,0,0,1,1,0,58
118802,0,1,1,0,1,0,58
119163,0,1,0,1,0,0,58
119557,0,0,1,1,0,0,58
121878,1,1,1,1,1,0,58
122846,0,1,0,1,0,0,58
122900,0,0,1,1,0,0,58
124530,0,0,0,0,1,0,58
131531,1,0,1,0,0,0,131
131847,1,0,0,1,1,0,131
132884,1,0,1,0,0,0,131
133352,1,0,1,0,0,0,131
134395,0,1,0,1,0,0,131
135441,1,0,1,0,0,0,131
136047,1,1,0,0,0,0,131
136395,1,1,0,0,0,0,131
136858,1,0,1,0,0,0,131
137135,1,1,1,1,1,0,131
138592,1,1,0,0,0,0,131
139674,1,0,1,0,0,0,131
139752,1,1,0,0,0,0,131
140358,0,0,1,1,0,0,131
140469,0,1,1,0,1,0,131
141962,0,1,0,1,0,0,131
142039,1,0,1,0,0,0,131
142647,0,1,0,1,0,0,131
142892,0,0,0,0,1,0,131
143151,0,1,1,0,1,0,131
143815,0,0,1,1,0,0,131
145340,0,1,0,1,0,0,131
147718,1,0,1,1,0,0,131
147789,0,1,1,0,1,0,131
148118,0,0,0,0,1,0,131
148141,0,1,0,0,0,0,131
148555,1,1,0,0,0,0,131
149668,0,0,0,0,1,0,131
149914,1,0,0,1,1,0,131
150898,1,1,1,1,1,0,131
150964,1,0,0,1,1,0,131
151193,0,0,1,1,0,0,131
153524,1,0,0,1,1,0,131
155806,1,1,1,1,1,0,131
158069,0,1,1,1,1,1,131
160524,0,0,0,0,1,0,131
165260,1,0,1,0,0,0,131
166979,0,1,1,0,1,0,131
168007,1,0,1,0,0,0,131
168282,0,0,0,0,1,0,131
168307,0,0,0,1,1,1,131
168921,0,0,1,1,0,0,131
169341,1,0,0,1,1,0,131
169661,0,0,0,0,1,0,131
170178,1,1,0,0,0,0,131
170357,1,0,0,1,1,0,131
171315,1,1,0,0,0,0,131
171962,1,1,0,0,0,0,131
173705,1,1,0,0,0,0,131
173761,0,1,0,1,0,0,131
173848,1,0,0,1,1,0,131
173990,0,1,0,1,0,0,131
174708,1,1,1,1,1,0,131
176261,1,0,0,1,1,0,131
176553,1,1,0,0,0,0,131
176888,1,0,0,1,1,0,131
178502,1,1,1,1,1,0,131
179114,0,0,1,1,0,0,131
179431,0,1,0,1,0,0,131
180238,1,0,1,0,0,0,131
181561,1,0,1,0,0,0,131
181648,1,0,0,1,1,0,131
181843,0,0,1,1,0,0,131
183638,0,1,0,1,0,0,131
184968,1,1,0,0,0,0,131
185244,1,0,1,0,0,0,131
188159,1,0,1,0,0,0,131
188792,1,1,0,0,0,0,131
189097,1,0,0,1,1,0,131
190057,1,0,1,0,0,0,131
190336,0,1,1,0,1,0,131
190828,0,0,0,0,1,0,131
191082,1,1,0,0,0,0,131
192033,1,0,1,0,0,0,131
192341,0,1,1,0,1,0,131
192735,0,0,0,0,1,0,131
193797,1,1,0,0,0,0,131
194174,1,1,0,0,0,0,131
196223,1,0,1,0,0,0,131
198040,0,0,1,1,0,0,61
198902,1,1,1,1,1,0,61
204359,1,1,0,0,0,0,61
204529,1,0,0,1,1,0,61
206141,1,1,1,1,1,0,61
207217,0,1,1,0,1,0,61
207613,1,0,0,1,1,0,61
209986,1,1,1,1,1,0,61
215747,1,0,0,1,1,0,61
221234,0,0,0,1,1,1,61
221383,0,1,0,1,0,0,61
221853,0,1,0,1,0,0,61
226095,0,1,1,0,1,0,61
227439,0,1,1,0,1,0,61
228071,0,1,1,0,1,0,61
231176,0,0,0,0,1,0,61
234754,0,1,1,0,1,0,61
234923,1,1,0,0,0,0,61
235273,1,0,0,1,1,0,61
238809,1,0,0,0,1,1,61
240282,1,0,0,1,1,0,61
240351,1,0,1,0,0,0,61
241029,1,1,0,1,0,0,61
242193,1,0,1,0,0,0,61
242936,1,0,1,0,0,0,61
243759,1,0,1,0,0,0,61
247203,0,0,0,0,1,0,61
248538,1,0,0,1,1,0,61
248912,0,1,1,0,1,0,61
251994,1,0,0,1,1,0,61
253533,1,0,0,1,1,0,61
254197,0,0,0,0,1,0,61
255165,1,0,1,0,0,0,61
255273,0,0,1,1,0,0,61
258802,1,1,1,1,1,0,61
259416,0,1,1,0,1,0,61
260007,0,0,1,1,0,0,61
261000,0,1,1,0,1,0,61
261521,1,0,1,0,0,0,61
263787,1,0,1,0,0,0,30
268311,0,1,1,0,1,0,30
270302,1,0,0,1,1,0,30
273222,1,1,1,1,1,0,30
273638,0,0,1,1,0,0,30
274295,1,1,0,0,0,0,30
274953,1,0,0,1,1,0,30
279001,0,0,1,1,0,0,30
287265,1,0,1,0,0,0,30
292512,0,1,1,0,1,0,30
297341,1,1,1,1,1,0,30
297907,1,0,1,0,0,0,30
301037,0,0,0,0,1,0,30
301127,0,1,1,0,1,0,30
304368,1,1,1,1,1,0,30
307503,1,0,1,0,0,0,30
312192,0,0,1,1,0,0,30
313736,0,1,1,0,1,0,30
317067,1,0,0,1,1,0,30
317407,1,0,1,0,0,0,30
323830,1,0,1,0,0,0,30
329759,1,0,1,0,0,0,27
333239,1,0,1,0,0,0,27
337332,0,1,0,1,0,0,27
337683,1,0,1,0,0,0,27
339619,0,0,0,0,1,0,27
341804,1,1,0,0,0,0,27
355364,0,0,1,1,0,0,27
356024,0,0,1,1,0,0,27
360802,1,0,0,1,1,0,27
363373,1,0,0,1,1,0,27
382710,0,0,0,0,1,0,27
391760,0,0,0,0,1,0,27
394984,0,1,0,1,0,0,87
