attempt,a_data,a_basis,b_basis,bob,bmatch,err,irrad
334,0,0,0,0,1,0,104
560,0,1,0,1,0,0,104
596,0,1,1,0,1,0,104
1103,1,0,0,0,1,1,104
1864,1,1,0,1,0,0,104
2738,1,0,1,0,0,0,104
3942,1,0,1,0,0,0,104
5988,0,0,1,1,0,0,104
6083,1,1,0,0,0,0,104
6572,1,0,0,1,1,0,104
7237,1,1,0,0,0,0,104
7771,0,1,1,0,1,0,104
7780,0,1,0,1,0,0,104
9032,0,1,0,1,0,0,104
10559,0,0,0,0,1,0,104
12854,1,1,1,1,1,0,104
14917,0,0,1,1,0,0,104
16234,0,1,0,1,0,0,104
18070,1,0,1,0,0,0,104
18415,1,1,0,0,0,0,104
18459,1,0,1,0,0,0,104
19130,0,1,0,1,0,0,104
20194,0,0,1,0,0,0,104
20406,1,0,0,1,1,0,104
21550,0,1,1,0,1,0,104
22230,0,1,1,0,1,0,104
23029,0,0,1,1,0,0,104
23973,0,0,1,1,0,0,104
24113,0,0,0,0,1,0,104
24830,1,1,0,0,0,0,104
25563,0,0,0,0,1,0,104
26325,1,1,0,0,0,0,104
26643,0,0,1,1,0,0,104
28450,0,1,1,0,1,0,104
28516,0,0,0,0,1,0,104
29503,1,1,0,0,0,0,104
30730,0,0,1,1,0,0,104
31834,0,1,0,0,0,0,104
32312,0,1,1,0,1,0,104
34285,1,1,0,0,0,0,104
36442,1,0,0,1,1,0,104
36754,1,1,1,1,1,0,104
37669,1,1,0,0,0,0,104
38726,1,1,0,0,0,0,104
39848,0,0,0,0,1,0,104
40065,0,0,0,0,1,0,104
40687,0,1,1,0,1,0,104
42586,1,1,1,1,1,0,104
45392,0,0,1,1,0,0,104
45551,0,0,0,0,1,0,104
45641,0,0,1,1,0,0,104
48058,1,0,0,1,1,0,104
48184,0,0,0,0,1,0,104
48654,0,0,1,1,0,0,104
49724,0,0,0,0,1,0,104
53731,1,0,1,0,0,0,104
55501,0,0,0,0,1,0,104
56809,1,0,0,1,1,0,104
57366,1,0,0,1,1,0,104
57815,0,1,0,1,0,0,104
59363,0,1,1,0,1,0,104
