attempt,a_data,a_basis,b_basis,bob,bmatch,err,irrad
105,1,1,0,0,0,0,69
1047,1,0,0,1,1,0,69
1224,0,0,0,0,1,0,69
4353,0,0,1,1,0,0,69
5745,1,1,1,1,1,0,69
6028,1,1,0,0,0,0,69
7557,1,1,1,1,1,0,69
9532,1,0,0,1,1,0,69
9987,1,1,1,1,1,0,69
10279,0,1,1,0,1,0,69
10346,0,0,1,1,0,0,69
11856,0,0,0,0,1,0,69
13232,0,0,0,0,1,0,69
13902,1,1,1,1,1,0,69
16860,1,0,0,1,1,0,69
18028,0,1,0,1,0,0,69
19165,1,1,1,1,1,0,69
19216,1,0,1,0,0,0,69
19793,0,1,1,0,1,0,69
19916,0,1,0,1,0,0,69
20619,1,0,1,0,0,0,69
21835,0,1,1,0,1,0,69
26760,0,0,1,1,0,0,69
33116,1,1,0,0,0,0,69
33411,1,1,1,1,1,0,69
33509,0,1,1,0,1,0,69
33744,1,0,0,1,1,0,69
34004,0,1,1,0,1,0,69
34144,0,0,1,1,0,0,69
36453,0,1,1,0,1,0,69
36646,0,0,0,0,1,0,69
38282,1,1,1,1,1,0,69
38964,0,1,1,0,1,0,69
39520,0,1,1,0,1,0,69
41617,1,1,1,1,1,0,69
42576,1,0,1,0,0,0,69
44431,0,0,1,1,0,0,69
46565,0,1,1,0,1,0,69
48410,1,1,1,1,1,0,69
49705,0,1,1,0,1,0,69
51100,0,0,0,0,1,0,69
51390,1,1,0,0,0,0,69
51484,0,1,0,1,0,0,69
52197,1,1,1,1,1,0,69
52479,1,1,1,1,1,0,69
59766,0,0,0,0,1,0,69
60793,1,1,0,0,0,0,69
68072,1,1,1,1,1,0,106
68105,1,0,0,1,1,0,106
69729,1,0,1,0,0,0,106
71536,1,0,1,0,0,0,106
72053,0,0,0,0,1,0,106
73195,0,1,1,0,1,0,106
77261,0,1,0,1,0,0,106
77273,0,0,0,0,1,0,106
79384,0,0,1,1,0,0,106
81301,0,0,1,1,0,0,106
83483,0,0,1,1,0,0,106
83493,0,0,0,0,1,0,106
83556,0,0,0,0,1,0,106
84418,0,1,1,0,1,0,106
86395,0,0,0,0,1,0,106
87198,0,0,1,1,0,0,106
89960,1,0,0,1,1,0,106
91523,0,0,1,1,0,0,106
93367,1,0,1,0,0,0,106
93637,0,0,1,1,0,0,106
94947,0,0,0,0,1,0,106
95142,1,0,0,1,1,0,106
95232,1,0,0,1,1,0,106
97145,1,1,0,0,0,0,106
97817,1,1,1,1,1,0,106
98622,1,1,1,1,1,0,106
100113,0,0,0,0,1,0,106
100545,0,0,1,1,0,0,106
101639,0,0,1,1,0,0,106
102281,0,0,1,1,0,0,106
102773,0,1,1,0,1,0,106
104498,0,0,1,1,0,0,106
104843,1,1,1,1,1,0,106
105571,1,1,1,1,1,0,106
107137,0,1,0,1,0,0,106
108841,0,1,0,1,0,0,106
109171,1,0,0,1,1,0,106
110376,0,0,1,1,0,0,106
110423,1,0,1,0,0,0,106
113466,0,1,1,0,1,0,106
117184,0,1,1,0,1,0,106
121419,1,1,0,0,0,0,106
124979,0,0,1,1,0,0,106
125057,1,1,0,0,0,0,106
128574,0,1,0,1,0,0,106
128901,1,0,0,1,1,0,106
130927,1,1,0,0,0,0,106
131307,0,1,1,0,1,0,162
131770,0,1,1,0,1,0,162
131859,0,0,0,0,1,0,162
133871,1,0,0,1,1,0,162
133954,0,1,1,0,1,0,162
134336,1,0,0,1,1,0,162
134923,0,0,0,0,1,0,162
135871,1,1,0,0,0,0,162
136185,1,0,1,0,0,0,162
137155,1,0,0,1,1,0,162
137396,1,0,0,1,1,0,162
137659,1,0,1,1,0,0,162
139225,0,0,0,0,1,0,162
141154,0,0,1,1,0,0,162
141277,1,0,0,1,1,0,162
141363,1,0,0,1,1,0,162
141650,1,1,0,0,0,0,162
142237,1,1,1,1,1,0,162
142268,0,1,0,1,0,0,162
143593,1,1,0,0,0,0,162
144124,1,1,0,0,0,0,162
144198,0,1,1,0,1,0,162
144542,1,1,1,1,1,0,162
147640,0,1,1,0,1,0,162
147852,1,1,0,0,0,0,162
147937,1,0,0,0,1,1,162
148049,1,0,1,0,0,0,162
148284,0,0,1,1,0,0,162
150625,1,1,1,1,1,0,162
151022,0,1,0,1,0,0,162
151177,0,0,0,0,1,0,162
151526,1,1,1,1,1,0,162
